"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"1","155","RPS20","ENSG00000008988","-27349.9","-27349.9","1","2.21732149910735e-11","0"
"2","17","CD9","ENSG00000010278","-11233.15","-11233.15","1","0.557109087686717","0"
"3","16","CD74","ENSG00000019582","-12851.05","-12851.05","1","5.91555591441165e-08","0"
"4","186","TMSB10","ENSG00000034510","-32874.2","-32874.2","1","6.68154769571394e-12","0"
"5","137","RPL31","ENSG00000071082","-28298.95","-28298.95","1","2.65331665998221e-11","0"
"7","4","ACTB","ENSG00000075624","-29489","-29489","1","0.23473676304596","0"
"8","63","HSP90AA1","ENSG00000080824","-26690.6","-26690.6","1","1.35423506613317e-11","0"
"9","49","FTL","ENSG00000087086","-8139","-8139","1","0.658926949857845","0"
"10","51","GNAS","ENSG00000087460","-9065.45","-9065.45","1","0.768693946592965","0"
"11","147","RPLP0","ENSG00000089157","-26030.05","-26030.05","1","3.78375184841747e-11","0"
"12","41","EZR","ENSG00000092820","-21580.3","-21580.3","1","6.07975249731759e-11","0"
"13","92","MYL6","ENSG00000092841","-28273.7","-28273.7","1","0.360694370571205","0"
"14","64","HSP90AB1","ENSG00000096384","-21907.65","-21907.65","1","3.99117869832244e-11","0"
"16","28","CST3","ENSG00000101439","-16933.4","-16933.4","1","0.264580101043828","0"
"17","27","COTL1","ENSG00000103187","-8964.4","-8964.4","1","0.457912716317042","0"
"18","65","HSPB1","ENSG00000106211","-17774.6","-17774.6","1","5.30368997270115e-11","0"
"19","133","RPL19","ENSG00000108298","-26991.1","-26991.1","1","2.32937968239296e-11","0"
"20","106","PFN1","ENSG00000108518","-21002.1","-21002.1","1","0.317178829773711","0"
"21","139","RPL34","ENSG00000109475","-28427.7","-28427.7","1","1.98962880753688e-11","0"
"22","39","EIF4G2","ENSG00000110321","-17633.3","-17633.3","1","0.417911194582475","0"
"23","76","KRT18","ENSG00000111057","-14583.1","-14583.1","1","1","0"
"24","88","MGP","ENSG00000111341","-8897.4","-8897.4","1","1","0"
"25","8","ARHGDIB","ENSG00000111348","-9328.8","-9328.8","1","0.636194617772986","0"
"26","50","GAPDH","ENSG00000111640","-27765.85","-27765.85","1","0.285663784498504","0"
"27","151","RPS12","ENSG00000112306","-28989.4","-28989.4","1","1.58311986603938e-11","0"
"29","125","RBM25","ENSG00000119707","-20179.1","-20179.1","1","3.10425009872276e-11","0"
"30","36","DUSP1","ENSG00000120129","-7936.8","-7936.8","1","0.63987889274294","0"
"31","134","RPL23","ENSG00000125691","-26453.6","-26453.6","1","3.01564138758542e-11","0"
"33","191","TPT1","ENSG00000133112","-30299.9","-30299.9","1","0.116727172028266","0"
"34","153","RPS15A","ENSG00000134419","-23290.9","-23290.9","1","3.19008189868471e-11","0"
"35","121","RAC1","ENSG00000136238","-9580.5","-9580.5","1","0.638104938406712","0"
"36","140","RPL35","ENSG00000136942","-27944.25","-27944.25","1","2.6035645989418e-11","0"
"37","162","RPS6","ENSG00000137154","-27794.35","-27794.35","1","2.33176389905861e-11","0"
"38","148","RPLP1","ENSG00000137818","-31536.65","-31536.65","1","0.00591848337665375","0"
"39","157","RPS24","ENSG00000138326","-26625.65","-26625.65","1","3.57632499851164e-11","0"
"40","184","TMBIM6","ENSG00000139644","-20911.9","-20911.9","1","0.0667881685010292","0"
"41","170","SERF2","ENSG00000140264","-23691.45","-23691.45","1","0.359828322615562","0"
"42","154","RPS2","ENSG00000140988","-25328.7","-25328.7","1","3.85477345544385e-11","0"
"43","150","RPS11","ENSG00000142534","-26584.55","-26584.55","1","0.0749538622019775","0"
"44","172","SH3BGRL3","ENSG00000142669","-9092.1","-9092.1","1","0.701244841186132","0"
"45","131","RPL11","ENSG00000142676","-29019.05","-29019.05","1","1.88829959924602e-11","0"
"46","163","RPS8","ENSG00000142937","-27047.5","-27047.5","1","2.52448196615543e-11","0"
"47","166","S100A8","ENSG00000143546","-12234.25","-12234.25","1","1","0"
"48","188","TPM3","ENSG00000143549","-6873.4","-6873.4","1","0.767754009883371","0"
"50","158","RPS27A","ENSG00000143947","-20585","-20585","1","0.20894879822212","0"
"51","138","RPL32","ENSG00000144713","-25719.75","-25719.75","1","3.77037305749093e-11","0"
"52","142","RPL37","ENSG00000145592","-28853.2","-28853.2","1","2.46766424900039e-11","0"
"53","160","RPS3","ENSG00000149273","-24159.05","-24159.05","1","2.031352599186e-11","0"
"54","6","ALDOA","ENSG00000149925","-22102.7","-22102.7","1","0.133646232031102","0"
"55","199","UBC","ENSG00000150991","-23116.1","-23116.1","1","0.337563298689437","0"
"56","136","RPL30","ENSG00000156482","-26068.1","-26068.1","1","1.58584468508587e-11","0"
"57","37","EEF1A1","ENSG00000156508","-24720.25","-24720.25","1","2.76480230226164e-11","0"
"58","178","TAGLN2","ENSG00000158710","-8621.85","-8621.85","1","0.843946113297655","0"
"59","210","ZYX","ENSG00000159840","-7516.85","-7516.85","1","0.717542917461062","0"
"60","167","S100A9","ENSG00000163220","-17371.9","-17371.9","1","3.76086336715493e-10","0"
"61","200","UQCRQ","ENSG00000164405","-21296","-21296","1","6.01914319997956e-11","0"
"62","152","RPS14","ENSG00000164587","-28910.1","-28910.1","1","1.7786256326251e-11","0"
"63","135","RPL27A","ENSG00000166441","-28025.8","-28025.8","1","0.00300464872444208","0"
"64","11","B2M","ENSG00000166710","-16520.9","-16520.9","1","0.587679026252599","0"
"66","132","RPL13","ENSG00000167526","-28930.9","-28930.9","1","1.46099262486931e-11","0"
"67","195","TUBA1C","ENSG00000167553","-7065.9","-7065.9","1","0.750865051910848","0"
"68","175","SPINT2","ENSG00000167642","-11562.85","-11562.85","1","0.490685817141709","0"
"70","198","UBB","ENSG00000170315","-20364","-20364","1","0.249723694819902","0"
"71","78","KRT8","ENSG00000170421","-15208.8","-15208.8","1","1","0"
"72","77","KRT19","ENSG00000171345","-10802.95","-10802.95","1","1","0"
"73","20","CFL1","ENSG00000172757","-33151.45","-33151.45","1","0.151871075248885","0"
"74","144","RPL38","ENSG00000172809","-26287.15","-26287.15","1","2.18985690381514e-11","0"
"75","38","EIF1","ENSG00000173812","-20157.45","-20157.45","1","0.342617315492605","0"
"76","149","RPLP2","ENSG00000177600","-31738.6","-31738.6","1","1.16699260948034e-11","0"
"77","141","RPL35A","ENSG00000182899","-21105.35","-21105.35","1","0.223790109747252","0"
"78","208","ZFP36L1","ENSG00000185650","-11437.3","-11437.3","1","0.0531077891926955","0"
"79","156","RPS23","ENSG00000186468","-22737.5","-22737.5","1","3.38493607810088e-11","0"
"82","114","PSAP","ENSG00000197746","-24566.1","-24566.1","1","0.172429161964216","0"
"83","143","RPL37A","ENSG00000197756","-29203.95","-29203.95","1","1.40614837535425e-11","0"
"84","165","S100A6","ENSG00000197956","-20092.75","-20092.75","1","7.25278709671497e-11","0"
"85","161","RPS4X","ENSG00000198034","-28989.55","-28989.55","1","1.69517804932641e-11","0"
"86","145","RPL39","ENSG00000198918","-22480.9","-22480.9","1","6.22020453361052e-11","0"
"89","146","RPL41","ENSG00000229117","-13859.25","-13859.25","1","1.50760695559921e-10","0"
"90","159","RPS28","ENSG00000233927","-20285.25","-20285.25","1","7.67581525363375e-11","0"
"92","15","CD24","ENSG00000272398","-12554.2","-12554.2","1","1","0"
"6","202","WDR1","ENSG00000071127","-6241.75","-6241.75","1","0.738588522951594","0.000601503759398496"
"15","93","MYL9","ENSG00000101335","-6214","-6214","1","0.777901785727789","0.000601503759398496"
"28","113","PRRC2C","ENSG00000117523","-6321.25","-6321.25","1","0.61778520161107","0.000601503759398496"
"32","9","ARPC1B","ENSG00000130429","-6357.45","-6357.45","1","0.742186989573998","0.000601503759398496"
"69","48","FTH1","ENSG00000167996","-6248.1","-6248.1","1","0.896639283047908","0.000601503759398496"
"49","129","RHOB","ENSG00000143878","-5861.45","-5861.45","1","0.62547793623175","0.00115673799884326"
"87","60","HBA1","ENSG00000206172","-5459.25","-5459.25","1","1","0.00169779286926995"
"88","101","OST4","ENSG00000228474","-4449.05","-4449.05","1","0.73678465052333","0.00559910414333707"
"65","57","GPX4","ENSG00000167468","-4239.25","-4239.25","1","0.833059671506893","0.00612642717905876"
"81","103","PARVB","ENSG00000188677","-3840.15","-3840.15","1","6.58673228610932e-09","0.0104712041884817"
"80","61","HBA2","ENSG00000188536","-3673.45","-3673.45","1","1","0.0109649122807018"
"91","62","HBB","ENSG00000244734","-3557.45","-3557.45","1","1","0.0143787303309821"
