"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"1","21","CFLAR","ENSG00000003402","21522.5","21522.5","1","2.34766144179636","0"
"2","111","PRKAR2B","ENSG00000005249","22543.25","22543.25","1","11.8625944863857","0"
"3","69","ITGA2B","ENSG00000005961","25321.2","25321.2","1","5.48912149501052","0"
"4","68","IFRD1","ENSG00000006652","23119.55","23119.55","1","3.47334558667123","0"
"5","201","VCL","ENSG00000035403","25751.85","25751.85","1","3.77996371914066","0"
"6","120","RAB27B","ENSG00000041353","29245.1","29245.1","1","17.4658046171552","0"
"7","173","SLC2A3","ENSG00000059804","27416.95","27416.95","1","14.0394051832917","0"
"10","74","KIF2A","ENSG00000068796","23906.65","23906.65","1","3.91038047868459","0"
"11","123","RASGRP2","ENSG00000068831","28195","28195","1","49649444755.4483","0"
"12","85","MAST4","ENSG00000069020","30865.6","30865.6","1","11.5431391364885","0"
"13","126","RDH11","ENSG00000072042","18719.8","18719.8","1","2.68083020338247","0"
"14","119","PTPN18","ENSG00000072135","15681.35","15681.35","1","2.34269880676502","0"
"16","35","DGKD","ENSG00000077044","33406.2","33406.2","1","6.34219961582898","0"
"17","32","CXCL2","ENSG00000081041","20556.7","20556.7","1","13.9908500641415","0"
"18","31","CTTN","ENSG00000085733","21449.55","21449.55","1","2.14127449984906","0"
"19","110","PPP1R15A","ENSG00000087074","18816.1","18816.1","1","2.47054551644489","0"
"20","185","TMEM40","ENSG00000088726","29389.7","29389.7","1","8.58033467833143","0"
"21","117","PTGS1","ENSG00000095303","19955.7","19955.7","1","730.608811896472","0"
"22","73","KCNK6","ENSG00000099337","12475","12475","1","2.91175237248944","0"
"23","58","GRAP2","ENSG00000100351","19421.35","19421.35","1","4.10351989126558","0"
"24","97","NFKBIA","ENSG00000100906","10573.2","10573.2","1","1.57847491684308","0"
"25","209","ZMYND8","ENSG00000101040","35899.25","35899.25","1","11.299097538959","0"
"26","197","TUBB1","ENSG00000101162","27873.85","27873.85","1","6.57580194314514","0"
"27","91","MYL12A","ENSG00000101608","14353.65","14353.65","1","1.74642857141117","0"
"28","130","RIOK3","ENSG00000101782","26806","26806","1","3.37185790150578","0"
"31","192","TSC22D1","ENSG00000102804","13862","13862","1","1.52614320709541","0"
"32","83","LYL1","ENSG00000104903","22003.1","22003.1","1","4206.0174951548","0"
"33","180","TGFB1","ENSG00000105329","15159.1","15159.1","1","35.2265975905737","0"
"34","171","SERPINE1","ENSG00000106366","27333.85","27333.85","1","48983942106.9995","0"
"35","204","XPNPEP1","ENSG00000108039","28684.1","28684.1","1","5.1793059207849","0"
"36","102","P2RX1","ENSG00000108405","22605.45","22605.45","1","1176.28598901584","0"
"37","66","ICAM2","ENSG00000108622","20742.75","20742.75","1","18.8636593367526","0"
"38","2","ABCC3","ENSG00000108846","25673.15","25673.15","1","4.94933007998552","0"
"39","82","LUC7L3","ENSG00000108848","8533.75","8533.75","1","1.35271467076065","0"
"40","89","MMD","ENSG00000108960","25046.55","25046.55","1","31.5934502077766","0"
"41","26","CORO1C","ENSG00000110880","15071.35","15071.35","1","2.10751236117097","0"
"42","12","BIN2","ENSG00000110934","31301.5","31301.5","1","7.1137075028283","0"
"43","3","ACRBP","ENSG00000111644","30869.4","30869.4","1","6.95371062730588","0"
"45","174","SPARC","ENSG00000113140","16556.1","16556.1","1","3.40270563809183","0"
"46","47","FRMD4B","ENSG00000114541","30332.8","30332.8","1","20.2475065801209","0"
"47","100","ODC1","ENSG00000115758","10842.6","10842.6","1","1.86257235449325","0"
"48","203","WIPF1","ENSG00000115935","11263.9","11263.9","1","14.087323081191","0"
"49","108","PLEK","ENSG00000115956","9893.4","9893.4","1","2.727688991445","0"
"50","79","LGALSL","ENSG00000119862","16057.95","16057.95","1","7.68174996768618","0"
"51","124","RBBP6","ENSG00000122257","26445.3","26445.3","1","3.49826989607333","0"
"52","176","SRGN","ENSG00000122862","9807.5","9807.5","1","2.1064011200123","0"
"53","96","NFE2","ENSG00000123405","24496.65","24496.65","1","16.4639962266154","0"
"54","7","AMD1","ENSG00000123505","27847","27847","1","5.88262852143993","0"
"55","42","F13A1","ENSG00000124491","15701.6","15701.6","1","80.8744165318391","0"
"56","18","CDKN1A","ENSG00000124762","8194.05","8194.05","1","1.82135945810844","0"
"57","182","THOC2","ENSG00000125676","36034.9","36034.9","1","4.92654220762089","0"
"58","43","FAM110A","ENSG00000125898","23028.8","23028.8","1","3.51777219791866","0"
"59","86","MAX","ENSG00000125952","28909.9","28909.9","1","5.29283267670963","0"
"60","122","RAP1B","ENSG00000127314","24497.4","24497.4","1","3.39333654198164","0"
"61","196","TUBA4A","ENSG00000127824","11305.4","11305.4","1","2.80621786933959","0"
"62","53","GNG11","ENSG00000127920","14069.75","14069.75","1","2.66953155375826","0"
"63","118","PTPN12","ENSG00000127947","28990.8","28990.8","1","5.08291254243663","0"
"64","207","ZFP36","ENSG00000128016","14351.05","14351.05","1","2.12275120663691","0"
"66","52","GNAZ","ENSG00000128266","12446.5","12446.5","1","57.7275822930045","0"
"67","190","TPST2","ENSG00000128294","18676.1","18676.1","1","5.06530487382945","0"
"68","19","CDKN2D","ENSG00000129355","7647.2","7647.2","1","1.73386433277025","0"
"71","70","ITM2B","ENSG00000136156","10890.45","10890.45","1","1.48652353849894","0"
"73","29","CTDSPL","ENSG00000144677","17305.05","17305.05","1","4.93106879212263","0"
"74","177","STOM","ENSG00000148175","14716","14716","1","1.74788878895216","0"
"75","59","GSTO1","ENSG00000148834","16873.7","16873.7","1","2.36066017896439","0"
"76","127","RGS10","ENSG00000148908","17017.7","17017.7","1","2.4743011001897","0"
"77","40","ESAM","ENSG00000149564","27406.85","27406.85","1","503.719391111712","0"
"78","44","FERMT3","ENSG00000149781","18876.05","18876.05","1","5.49194665446656","0"
"79","128","RGS18","ENSG00000150681","30705.15","30705.15","1","21.0297973883587","0"
"80","87","MBNL1","ENSG00000152601","26088.15","26088.15","1","3.18015101034113","0"
"81","34","LOC112267931","ENSG00000153071","35375.9","35375.9","1","8.18201966772263","0"
"82","34","DAB2","ENSG00000153071","35375.9","35375.9","1","8.18201966772263","0"
"83","24","CMIP","ENSG00000153815","30106.75","30106.75","1","10.1457207319734","0"
"86","194","TSPAN33","ENSG00000158457","10503.3","10503.3","1","7.99206718780535","0"
"87","116","PTGIR","ENSG00000160013","33131.25","33131.25","1","94690384998.6904","0"
"88","179","TAL1","ENSG00000162367","25701","25701","1","609.951575820972","0"
"89","95","NEXN","ENSG00000162614","29794.1","29794.1","1","15.1066070291112","0"
"90","25","CNST","ENSG00000162852","37951.65","37951.65","1","11.840286801089","0"
"91","33","CXCL3","ENSG00000163734","25606.3","25606.3","1","9926.75860149041","0"
"92","109","PPBP","ENSG00000163736","7916.5","7916.5","1","3.30092716559847","0"
"93","105","PF4","ENSG00000163737","19425.55","19425.55","1","4.79483049274638","0"
"94","23","CLEC1B","ENSG00000165682","28751.2","28751.2","1","59793407352.4313","0"
"95","112","PRKCB","ENSG00000166501","14427.45","14427.45","1","12.3289885256332","0"
"96","189","TPM4","ENSG00000167460","8932.75","8932.75","1","1.50467296638654","0"
"97","55","GP9","ENSG00000169704","25146.9","25146.9","1","970.696939157128","0"
"98","80","LIMS1","ENSG00000169756","30652.5","30652.5","1","6.82971972466296","0"
"100","115","PTCRA","ENSG00000171611","29028","29028","1","29.1524099328413","0"
"101","169","SELP","ENSG00000174175","26530.25","26530.25","1","45945877400.1887","0"
"102","164","RUFY1","ENSG00000176783","33123.25","33123.25","1","6.86548556405945","0"
"103","22","CLDN5","ENSG00000184113","17709.15","17709.15","1","28704024236.3153","0"
"104","54","GP1BA","ENSG00000185245","25005.15","25005.15","1","39858471303.4858","0"
"105","94","NAP1L1","ENSG00000187109","19649.25","19649.25","1","2.05170696720129","0"
"106","104","PEAR1","ENSG00000187800","26005.6","26005.6","1","43918893028.3943","0"
"108","84","MALAT1","ENSG00000251562","43657.85","43657.85","1","9.66911168745977","0"
"8","30","CTSA","ENSG00000064601","5816.1","5816.1","1","1.24154474766169","0.000581564408258215"
"44","14","CCND3","ENSG00000112576","6134.05","6134.05","1","1.29093552223093","0.000581564408258215"
"84","98","NRGN","ENSG00000154146","5867.65","5867.65","1","3.07645624491606","0.000581564408258215"
"15","10","ATP2A3","ENSG00000074370","5596.1","5596.1","1","1.42421405113702","0.00113798008534851"
"65","205","YWHAH","ENSG00000128245","5508.7","5508.7","1","1.41860073031869","0.00113798008534851"
"72","181","THBS1","ENSG00000137801","5577.4","5577.4","1","1.42008660282612","0.00113798008534851"
"107","56","GPX1","ENSG00000233276","4494.95","4494.95","1","1.34551834659249","0.00394033211370673"
"29","107","PGRMC1","ENSG00000101856","3894.7","3894.7","1","1.33524643086387","0.00803324099722992"
"30","183","TIMP1","ENSG00000102265","3445.85","3445.85","1","1.36514537356857","0.0139078265612217"
"9","75","KLF6","ENSG00000067082","2800.8","2800.8","1","1.21183926644908","0.0197031039136302"
"70","13","CAP1","ENSG00000131236","2006.65","2006.65","1","1.06680616926197","0.0290010741138561"
"99","71","JUNB","ENSG00000171223","1803.3","1803.3","1","1.1324187953999","0.0323270104194496"
"85","193","TSC22D3","ENSG00000157514","1652.45","1652.45","1","1.11209721004991","0.0340244550770867"
"69","72","JUND","ENSG00000130522","1508","1508","1","1.79754181698195","0.0359693202856387"
