,Genes,genes,E.genes,mean.all,mean.cl,log2.fc,p.adj
ENSG00000049245,VAMP3,VAMP3,ENSG00000049245,32.77998136,65.708353,1.003261747,0.00133126
ENSG00000049860,HEXB,HEXB,ENSG00000049860,35.77611959,82.49411516,1.20529429,6.80E-08
ENSG00000050405,LIMA1,LIMA1,ENSG00000050405,36.42982756,74.00357903,1.022474879,8.95E-05
ENSG00000051108,HERPUD1,HERPUD1,ENSG00000051108,68.42510383,143.7982109,1.071448103,7.36E-12
ENSG00000051620,HEBP2,HEBP2,ENSG00000051620,33.74417431,73.99746596,1.132837414,8.87E-06
ENSG00000052344,PRSS8,PRSS8,ENSG00000052344,52.58945917,160.0246073,1.605448203,0
ENSG00000052841,TTC17,TTC17,ENSG00000052841,29.57818465,59.86612995,1.0172065,0.003586617
ENSG00000054148,PHPT1,PHPT1,ENSG00000054148,34.2773874,75.17177145,1.132933849,3.39E-06
ENSG00000054654,SYNE2,SYNE2,ENSG00000054654,48.21757532,100.371964,1.057725341,1.39E-07
ENSG00000055044,NOP58,NOP58,ENSG00000055044,50.46347614,102.1490567,1.017364387,3.62E-07
ENSG00000055332,EIF2AK2,EIF2AK2,ENSG00000055332,28.13728792,57.14082063,1.022038478,0.003334598
ENSG00000056972,TRAF3IP2,TRAF3IP2,ENSG00000056972,21.26864144,47.24578821,1.151457842,0.002649433
ENSG00000057608,GDI2,GDI2,ENSG00000057608,78.85412862,166.1626234,1.0753377,0
ENSG00000057663,ATG5,ATG5,ENSG00000057663,36.75261248,108.0258199,1.555457471,0
ENSG00000058262,SEC61A1,SEC61A1,ENSG00000058262,66.98160691,180.3908319,1.429289126,0
ENSG00000060339,CCAR1,CCAR1,ENSG00000060339,83.91155292,176.1595797,1.069941572,0
ENSG00000061794,MRPS35,MRPS35,ENSG00000061794,40.4592158,100.0710875,1.30648495,5.35E-12
ENSG00000062194,GPBP1,GPBP1,ENSG00000062194,60.91391931,103.0442448,0.758420092,0.001960188
ENSG00000062485,CS,CS,ENSG00000062485,29.36694746,69.32342223,1.239149564,8.44E-07
ENSG00000062582,MRPS24,MRPS24,ENSG00000062582,67.30003454,252.9535416,1.910193288,0
ENSG00000063046,EIF4B,EIF4B,ENSG00000063046,45.44757115,83.02340435,0.869314896,0.001198325
ENSG00000063177,RPL18,RPL18,ENSG00000063177,244.6506955,395.6473183,0.693491594,0
ENSG00000064042,LIMCH1,LIMCH1,ENSG00000064042,39.41442862,85.47488209,1.116776667,5.79E-07
ENSG00000064313,TAF2,TAF2,ENSG00000064313,21.13888844,46.99739474,1.152681268,0.005160338
ENSG00000064651,SLC12A2,SLC12A2,ENSG00000064651,65.43703803,163.2203546,1.31864163,0
ENSG00000064787,BCAS1,BCAS1,ENSG00000064787,32.1972188,66.57393059,1.048021275,0.000340697
ENSG00000065054,SLC9A3R2,SLC9A3R2,ENSG00000065054,35.02791858,80.7134429,1.204303713,1.38E-07
ENSG00000065150,IPO5,IPO5,ENSG00000065150,28.99139386,67.37213677,1.216527359,2.90E-06
ENSG00000065154,OAT,OAT,ENSG00000065154,56.04302349,168.0452228,1.584242834,0
ENSG00000065361,ERBB3,ERBB3,ENSG00000065361,68.45238899,190.5097518,1.47669205,0
ENSG00000065518,NDUFB4,NDUFB4,ENSG00000065518,72.6630839,125.7426013,0.791179013,5.44E-05
ENSG00000067057,PFKP,PFKP,ENSG00000067057,42.04498943,83.28211703,0.98607286,4.82E-05
ENSG00000067064,IDI1,IDI1,ENSG00000067064,51.59445829,117.2525236,1.184330953,1.07E-11
ENSG00000067182,TNFRSF1A,TNFRSF1A,ENSG00000067182,32.27558795,73.40116525,1.18535959,1.38E-06
ENSG00000067704,IARS2,IARS2,ENSG00000067704,38.17160038,96.15193885,1.332816275,7.36E-12
ENSG00000068120,COASY,COASY,ENSG00000068120,27.53775263,56.74340815,1.04304198,0.003653099
ENSG00000068697,LAPTM4A,LAPTM4A,ENSG00000068697,77.83991151,170.5884115,1.131937669,0
ENSG00000069011,PITX1,PITX1,ENSG00000069011,20.712402,46.32978919,1.161445247,0.002987822
ENSG00000069248,NUP133,NUP133,ENSG00000069248,30.57260671,78.54250631,1.36123407,1.25E-09
ENSG00000069275,NUCKS1,NUCKS1,ENSG00000069275,181.5481482,301.1266146,0.730018009,1.34E-12
ENSG00000069329,VPS35,VPS35,ENSG00000069329,46.3412568,101.591592,1.132411929,7.18E-09
ENSG00000069849,ATP1B3,ATP1B3,ENSG00000069849,67.93241991,159.1956263,1.228628548,0
ENSG00000070087,PFN2,PFN2,ENSG00000070087,20.59946217,50.82378605,1.302897181,7.33E-05
ENSG00000070731,ST6GALNAC2,ST6GALNAC2,ENSG00000070731,20.87050482,47.68658356,1.192117929,0.001571175
ENSG00000070814,TCOF1,TCOF1,ENSG00000070814,61.8427736,181.6425117,1.554424962,0
ENSG00000071082,RPL31,RPL31,ENSG00000071082,292.5633833,480.7461626,0.716526126,0
ENSG00000072274,TFRC,TFRC,ENSG00000072274,56.60370519,150.8592069,1.414234349,0
ENSG00000072682,P4HA2,P4HA2,ENSG00000072682,22.76090831,51.81624744,1.186846407,0.000633269
ENSG00000072778,ACADVL,ACADVL,ENSG00000072778,68.26282835,142.3419863,1.060189177,1.34E-11
ENSG00000073111,MCM2,MCM2,ENSG00000073111,24.87147491,55.64335681,1.161717393,0.000339215
ENSG00000073350,LLGL2,LLGL2,ENSG00000073350,31.54807139,78.14963533,1.308687329,5.77E-09
ENSG00000073578,SDHA,SDHA,ENSG00000073578,56.892912,98.6219277,0.793659527,0.001623755
ENSG00000073803,MAP3K13,MAP3K13,ENSG00000073803,33.40712399,68.99794164,1.046397537,0.000288204
ENSG00000074071,MRPS34,MRPS34,ENSG00000074071,56.11982843,100.9148053,0.846555346,0.000271893
ENSG00000074201,CLNS1A,CLNS1A,ENSG00000074201,31.19183264,71.41101465,1.194978298,1.80E-06
ENSG00000074410,CA12,CA12,ENSG00000074410,48.66994539,130.2996483,1.420730128,0
ENSG00000074527,NTN4,NTN4,ENSG00000074527,25.76312836,60.97046053,1.242802656,1.54E-05
ENSG00000074800,ENO1,ENO1,ENSG00000074800,286.2648462,574.1039853,1.003961555,0
ENSG00000075223,SEMA3C,SEMA3C,ENSG00000075223,21.35286837,50.4654171,1.240865195,0.000220759
ENSG00000075275,CELSR1,CELSR1,ENSG00000075275,20.07882768,44.88409574,1.160529291,0.007067066
ENSG00000075415,SLC25A3,SLC25A3,ENSG00000075415,233.316408,532.6263199,1.190835953,0
ENSG00000075426,FOSL2,FOSL2,ENSG00000075426,24.75705682,52.05438341,1.072179842,0.003344253
ENSG00000075624,ACTB,ACTB,ENSG00000075624,2574.930911,3619.076611,0.491087925,0
ENSG00000076248,UNG,UNG,ENSG00000076248,25.23227712,66.28760158,1.393468644,2.45E-08
ENSG00000076554,TPD52,TPD52,ENSG00000076554,33.46212925,87.44422554,1.385833868,2.21E-11
ENSG00000076604,TRAF4,TRAF4,ENSG00000076604,36.44004827,87.28202655,1.260159729,2.14E-09
ENSG00000077147,TM9SF3,TM9SF3,ENSG00000077147,55.87622876,95.67779635,0.775949509,0.0041251
ENSG00000077152,UBE2T,UBE2T,ENSG00000077152,29.13294772,71.19268729,1.289077376,9.88E-08
ENSG00000077232,DNAJC10,DNAJC10,ENSG00000077232,38.53316808,77.76895948,1.013093631,9.37E-05
ENSG00000077782,FGFR1,FGFR1,ENSG00000077782,21.07092378,48.89865008,1.214541073,0.000868394
ENSG00000078401,EDN1,EDN1,ENSG00000078401,26.54828876,59.4359541,1.162717041,0.000103802
ENSG00000078808,SDF4,SDF4,ENSG00000078808,35.98765586,68.94496831,0.937943134,0.003971747
ENSG00000079332,SAR1A,SAR1A,ENSG00000079332,60.58882044,107.2452551,0.823790296,0.000154497
ENSG00000079459,FDFT1,FDFT1,ENSG00000079459,64.29818879,140.6801457,1.12956873,6.69E-13
ENSG00000079462,PAFAH1B3,PAFAH1B3,ENSG00000079462,37.70667622,98.21980264,1.381193939,6.69E-13
ENSG00000079616,KIF22,KIF22,ENSG00000079616,37.89430106,93.59580087,1.304462908,7.76E-11
ENSG00000079785,DDX1,DDX1,ENSG00000079785,34.31537799,82.68791952,1.268821325,8.94E-09
ENSG00000080603,SRCAP,SRCAP,ENSG00000080603,40.76818897,88.72322027,1.12186786,2.71E-07
ENSG00000080824,HSP90AA1,HSP90AA1,ENSG00000080824,842.5998957,1984.423377,1.235800215,0
ENSG00000081277,PKP1,PKP1,ENSG00000081277,24.86717335,68.00231925,1.451341426,1.71E-09
ENSG00000081307,UBA5,UBA5,ENSG00000081307,21.91769492,47.26388098,1.10864202,0.005993917
ENSG00000081692,JMJD4,JMJD4,ENSG00000081692,25.45615826,68.69344524,1.432157733,4.84E-09
ENSG00000082153,BZW1,BZW1,ENSG00000082153,47.50951983,111.5340363,1.231195506,8.03E-12
ENSG00000082512,TRAF5,TRAF5,ENSG00000082512,37.8846029,75.01504265,0.9855683,0.000201166
ENSG00000083307,GRHL2,GRHL2,ENSG00000083307,19.57880241,47.32595928,1.273339228,0.000255071
ENSG00000083845,RPS5,RPS5,ENSG00000083845,227.8446111,551.6210264,1.275627201,0
ENSG00000083857,FAT1,FAT1,ENSG00000083857,19.4830231,46.19322354,1.245463675,0.000552048
ENSG00000083937,CHMP2B,CHMP2B,ENSG00000083937,29.09935662,66.04150141,1.182385664,7.93E-06
ENSG00000084090,STARD7,STARD7,ENSG00000084090,46.85042076,94.80510783,1.016902785,2.65E-06
ENSG00000084207,GSTP1,GSTP1,ENSG00000084207,201.5726349,375.8972242,0.899038467,0
ENSG00000084234,APLP2,APLP2,ENSG00000084234,91.79450744,175.7304547,0.9368845,2.41E-11
ENSG00000084623,EIF3I,EIF3I,ENSG00000084623,57.19703507,160.0234885,1.484271413,0
ENSG00000084754,HADHA,HADHA,ENSG00000084754,55.50606057,116.1095963,1.064770005,2.72E-09
ENSG00000085063,CD59,CD59,ENSG00000085063,160.7074475,586.5855719,1.867904798,0
ENSG00000085377,PREP,PREP,ENSG00000085377,20.63124939,45.55594104,1.14280802,0.006214619
ENSG00000085719,CPNE3,CPNE3,ENSG00000085719,39.55477248,94.36487317,1.254398151,3.54E-10
ENSG00000085721,RRN3,RRN3,ENSG00000085721,23.28414984,52.7433877,1.179642031,0.000539189
ENSG00000086061,DNAJA1,DNAJA1,ENSG00000086061,91.50734021,189.6390385,1.051296605,0
ENSG00000086062,B4GALT1,B4GALT1,ENSG00000086062,64.56054528,143.164486,1.148948987,0
ENSG00000086065,CHMP5,CHMP5,ENSG00000086065,37.64663864,72.1687957,0.938854124,0.001290063
ENSG00000086598,TMED2,TMED2,ENSG00000086598,60.03040722,138.8000889,1.209243132,0
ENSG00000087111,PIGS,PIGS,ENSG00000087111,28.05803714,58.20098454,1.052629473,0.001433578
ENSG00000087191,PSMC5,PSMC5,ENSG00000087191,68.61779137,120.965541,0.817941536,4.29E-05
ENSG00000087510,TFAP2C,TFAP2C,ENSG00000087510,27.00498198,70.7365683,1.389230644,9.04E-09
ENSG00000087586,AURKA,AURKA,ENSG00000087586,24.34429693,61.24773011,1.331072542,7.50E-07
ENSG00000088325,TPX2,TPX2,ENSG00000088325,66.48631177,223.7732293,1.750908199,0
ENSG00000088930,XRN2,XRN2,ENSG00000088930,36.32172497,78.54532534,1.112692696,3.68E-06
ENSG00000089009,RPL6,RPL6,ENSG00000089009,118.0566118,252.1028063,1.094533336,0
ENSG00000089127,OAS1,OAS1,ENSG00000089127,31.53718022,87.28822345,1.468733352,6.69E-13
ENSG00000089157,RPLP0,RPLP0,ENSG00000089157,304.7672299,680.9173049,1.159771813,0
ENSG00000089159,PXN,PXN,ENSG00000089159,33.0232719,73.2791263,1.149919235,3.63E-06
ENSG00000089220,PEBP1,PEBP1,ENSG00000089220,122.2504574,292.1262442,1.256752111,0
ENSG00000089248,ERP29,ERP29,ENSG00000089248,80.16712787,134.4999824,0.746523291,8.98E-05
ENSG00000089280,FUS,FUS,ENSG00000089280,130.6702828,239.4094398,0.873548959,0
ENSG00000089597,GANAB,GANAB,ENSG00000089597,52.09096835,119.2624299,1.195034475,4.02E-12
ENSG00000089685,BIRC5,BIRC5,ENSG00000089685,32.62392947,85.76208073,1.394409347,3.88E-11
ENSG00000089693,MLF2,MLF2,ENSG00000089693,53.36472031,137.3870756,1.364288103,0
ENSG00000090013,BLVRB,BLVRB,ENSG00000090013,52.49630681,112.1211896,1.094771121,1.87E-09
ENSG00000090054,SPTLC1,SPTLC1,ENSG00000090054,21.52423314,47.16753367,1.131832328,0.00367286
ENSG00000090487,SPG21,SPG21,ENSG00000090487,31.87851362,69.07468912,1.115572801,2.27E-05
ENSG00000090615,GOLGA3,GOLGA3,ENSG00000090615,28.97414328,60.52938225,1.062869624,0.000875447
ENSG00000090863,GLG1,GLG1,ENSG00000090863,49.34953633,87.80647965,0.831290877,0.002705522
ENSG00000091483,FH,FH,ENSG00000091483,26.11252132,56.75383667,1.119976159,0.000703308
ENSG00000092010,PSME1,PSME1,ENSG00000092010,102.5198912,224.9182004,1.133496556,0
ENSG00000092199,HNRNPC,HNRNPC,ENSG00000092199,114.73985,205.2263542,0.838849469,7.03E-11
ENSG00000092201,SUPT16H,SUPT16H,ENSG00000092201,39.82542671,85.58654459,1.103694183,9.45E-07
ENSG00000092820,EZR,EZR,ENSG00000092820,249.5986592,623.9690473,1.32186428,0
ENSG00000095002,MSH2,MSH2,ENSG00000095002,21.32524014,46.24619363,1.116772639,0.006512905
ENSG00000095261,PSMD5,PSMD5,ENSG00000095261,20.4113702,46.13840867,1.176595213,0.002007724
ENSG00000095380,NANS,NANS,ENSG00000095380,50.5597593,127.7882941,1.337694185,0
ENSG00000096063,SRPK1,SRPK1,ENSG00000096063,27.13075431,57.23036142,1.076851558,0.001069813
ENSG00000096080,MRPS18A,MRPS18A,ENSG00000096080,30.13180865,66.53783189,1.142887585,3.00E-05
ENSG00000096384,HSP90AB1,HSP90AB1,ENSG00000096384,322.8610621,883.4942414,1.452307273,0
ENSG00000096433,ITPR3,ITPR3,ENSG00000096433,30.48893492,84.08411478,1.463547518,2.68E-12
ENSG00000096696,DSP,DSP,ENSG00000096696,108.1000155,330.9615564,1.614296917,0
ENSG00000099194,SCD,SCD,ENSG00000099194,34.19590709,94.84089789,1.471685662,0
ENSG00000099250,NRP1,NRP1,ENSG00000099250,19.77741336,44.81442921,1.18010957,0.00478374
ENSG00000099282,TSPAN15,TSPAN15,ENSG00000099282,39.89565713,76.66143565,0.942269306,0.000738031
ENSG00000099341,PSMD8,PSMD8,ENSG00000099341,52.04484288,134.4968205,1.369744948,0
ENSG00000099783,HNRNPM,HNRNPM,ENSG00000099783,117.5302345,195.4908091,0.734068846,1.47E-07
ENSG00000099800,TIMM13,TIMM13,ENSG00000099800,46.656567,91.32087073,0.968864458,1.82E-05
ENSG00000099860,GADD45B,GADD45B,ENSG00000099860,58.93724104,101.4313507,0.783252202,0.001386927
ENSG00000100028,SNRPD3,SNRPD3,ENSG00000100028,51.49050939,98.69379782,0.938652882,1.65E-05
