,Genes,genes,E.genes,mean.all,mean.cl,log2.fc,p.adj
ENSG00000104447,TRPS1,TRPS1,ENSG00000104447,44.85725536,110.8127164,1.304710193,0
ENSG00000104518,GSDMD,GSDMD,ENSG00000104518,43.59778625,84.73277101,0.958665169,0.000112742
ENSG00000104522,TSTA3,TSTA3,ENSG00000104522,40.28832108,113.9892605,1.500464317,0
ENSG00000104529,EEF1D,EEF1D,ENSG00000104529,197.5332903,336.6834109,0.769296827,0
ENSG00000104549,SQLE,SQLE,ENSG00000104549,46.73972687,127.0797931,1.443013437,0
ENSG00000104635,SLC39A14,SLC39A14,ENSG00000104635,48.25228035,169.1846358,1.809929529,0
ENSG00000104738,MCM4,MCM4,ENSG00000104738,35.72389353,95.10419453,1.412619644,0
ENSG00000104783,KCNN4,KCNN4,ENSG00000104783,22.29719207,53.77831599,1.270162539,5.77E-05
ENSG00000104823,ECH1,ECH1,ENSG00000104823,48.86815277,136.8435533,1.485560995,0
ENSG00000104853,CLPTM1,CLPTM1,ENSG00000104853,33.88648174,75.89313666,1.163259566,2.08E-06
ENSG00000104889,RNASEH2A,RNASEH2A,ENSG00000104889,19.68926622,45.43461623,1.206382547,0.001796252
ENSG00000104960,PTOV1,PTOV1,ENSG00000104960,43.41314799,91.30135068,1.072504163,5.77E-07
ENSG00000105011,ASF1B,ASF1B,ENSG00000105011,20.68920121,48.47011637,1.228217601,0.000512846
ENSG00000105135,ILVBL,ILVBL,ENSG00000105135,25.71488786,61.21040816,1.251173126,5.89E-06
ENSG00000105193,RPS16,RPS16,ENSG00000105193,259.3388609,448.3135611,0.789669736,0
ENSG00000105197,TIMM50,TIMM50,ENSG00000105197,26.21370513,55.25025902,1.075659945,0.001752221
ENSG00000105220,GPI,GPI,ENSG00000105220,79.90711179,187.2066594,1.228235941,0
ENSG00000105258,POLR2I,POLR2I,ENSG00000105258,31.85634491,63.81441885,1.002301691,0.002151667
ENSG00000105281,SLC1A5,SLC1A5,ENSG00000105281,39.3572377,96.57117272,1.294963629,4.42E-11
ENSG00000105289,TJP3,TJP3,ENSG00000105289,24.1928901,64.60318628,1.417022196,3.11E-08
ENSG00000105355,PLIN3,PLIN3,ENSG00000105355,78.09586482,126.5763748,0.696690089,0.001409081
ENSG00000105357,MYH14,MYH14,ENSG00000105357,19.49664969,43.57119277,1.160148376,0.007724107
ENSG00000105438,KDELR1,KDELR1,ENSG00000105438,52.81717081,98.697544,0.90200716,5.59E-05
ENSG00000105443,CYTH2,CYTH2,ENSG00000105443,51.97146864,89.90547111,0.790689084,0.006540749
ENSG00000105518,TMEM205,TMEM205,ENSG00000105518,40.60513381,94.23185325,1.214552675,1.52E-09
ENSG00000105568,PPP2R1A,PPP2R1A,ENSG00000105568,60.05908038,149.1295514,1.31211188,0
ENSG00000105640,RPL18A,RPL18A,ENSG00000105640,42.95088588,86.34821592,1.007478482,1.44E-05
ENSG00000105655,ISYNA1,ISYNA1,ENSG00000105655,18.46457963,42.57858832,1.2053677,0.004613039
ENSG00000105669,COPE,COPE,ENSG00000105669,66.71445366,119.1703662,0.83695427,1.70E-05
ENSG00000105677,TMEM147,TMEM147,ENSG00000105677,44.87434669,113.7144831,1.341453173,0
ENSG00000105699,LSR,LSR,ENSG00000105699,36.13321545,73.16421503,1.017812548,0.00013601
ENSG00000105974,CAV1,CAV1,ENSG00000105974,43.22841458,120.0771138,1.473909375,0
ENSG00000106153,CHCHD2,CHCHD2,ENSG00000106153,130.7892504,290.3320434,1.150459838,0
ENSG00000106211,HSPB1,HSPB1,ENSG00000106211,1055.696416,2566.549301,1.281634951,0
ENSG00000106263,EIF3B,EIF3B,ENSG00000106263,37.61010202,70.37184131,0.903878042,0.004755815
ENSG00000106305,AIMP2,AIMP2,ENSG00000106305,24.54745658,55.41049146,1.174585612,0.000222888
ENSG00000106399,RPA3,RPA3,ENSG00000106399,25.44427282,52.61106931,1.048025412,0.007343146
ENSG00000106537,TSPAN13,TSPAN13,ENSG00000106537,67.61026667,151.6810403,1.165726521,0
ENSG00000106541,AGR2,AGR2,ENSG00000106541,192.7523679,536.8457787,1.477759117,0
ENSG00000106546,AHR,AHR,ENSG00000106546,55.02855563,97.07674851,0.818945326,0.000676548
ENSG00000106605,BLVRA,BLVRA,ENSG00000106605,36.84011066,77.67551628,1.076182531,1.47E-05
ENSG00000106628,POLD2,POLD2,ENSG00000106628,27.95143902,68.18412976,1.286513424,2.68E-07
ENSG00000106789,CORO2A,CORO2A,ENSG00000106789,26.53524937,56.49395115,1.090186299,0.001165836
ENSG00000106803,SEC61B,SEC61B,ENSG00000106803,57.01148227,109.8746759,0.946534493,1.92E-06
ENSG00000107175,CREB3,CREB3,ENSG00000107175,32.19693472,68.70190738,1.093426809,7.35E-05
ENSG00000107201,DDX58,DDX58,ENSG00000107201,26.20522152,66.20517846,1.337089762,1.20E-07
ENSG00000107223,EDF1,EDF1,ENSG00000107223,116.6202101,198.4417364,0.766897659,1.58E-08
ENSG00000107262,BAG1,BAG1,ENSG00000107262,65.95747027,108.1318064,0.713182975,0.004615741
ENSG00000107281,NPDC1,NPDC1,ENSG00000107281,34.82522151,88.86172631,1.35142964,7.50E-11
ENSG00000107485,GATA3,GATA3,ENSG00000107485,130.1122581,317.2704565,1.2859563,0
ENSG00000107581,EIF3A,EIF3A,ENSG00000107581,96.84782086,158.5935634,0.711542727,2.72E-05
ENSG00000107937,GTPBP4,GTPBP4,ENSG00000107937,38.15071622,88.51085868,1.214144317,9.63E-09
ENSG00000108298,RPL19,RPL19,ENSG00000108298,318.8186535,510.0599132,0.677930679,0
ENSG00000108344,PSMD3,PSMD3,ENSG00000108344,28.36928888,61.78995957,1.123042442,0.000196538
ENSG00000108465,CDK5RAP3,CDK5RAP3,ENSG00000108465,45.21079839,96.31693806,1.091122134,9.67E-08
ENSG00000108551,RASD1,RASD1,ENSG00000108551,28.8751202,61.14573202,1.08242485,0.000359559
ENSG00000108561,C1QBP,C1QBP,ENSG00000108561,31.65158794,81.18915995,1.359009237,3.94E-10
ENSG00000108588,CCDC47,CCDC47,ENSG00000108588,43.30269524,95.80292113,1.145612822,2.17E-08
ENSG00000108639,SYNGR2,SYNGR2,ENSG00000108639,132.1263038,377.2485115,1.513597501,0
ENSG00000108679,LGALS3BP,LGALS3BP,ENSG00000108679,103.3268128,363.0704183,1.813034714,0
ENSG00000108821,COL1A1,COL1A1,ENSG00000108821,25.16018068,55.79409969,1.148970281,0.000489255
ENSG00000108826,MRPL27,MRPL27,ENSG00000108826,26.66530319,57.73022686,1.114363163,0.00061594
ENSG00000108828,VAT1,VAT1,ENSG00000108828,31.87399587,88.60775253,1.475053036,6.69E-13
ENSG00000108829,LRRC59,LRRC59,ENSG00000108829,47.817088,109.0382989,1.189236781,6.42E-11
ENSG00000109099,PMP22,PMP22,ENSG00000109099,28.95355475,65.89408107,1.186408396,1.53E-05
ENSG00000109113,RAB34,RAB34,ENSG00000109113,29.56006345,70.3689504,1.251289628,4.56E-07
ENSG00000109436,TBC1D9,TBC1D9,ENSG00000109436,29.89146252,67.11353399,1.16687024,9.63E-06
ENSG00000109501,WFS1,WFS1,ENSG00000109501,20.85790525,53.12845713,1.348890541,6.35E-06
ENSG00000109586,GALNT7,GALNT7,ENSG00000109586,41.75381639,89.38694187,1.098156021,3.98E-07
ENSG00000109606,DHX15,DHX15,ENSG00000109606,39.15485186,76.96247363,0.974964079,0.000358942
ENSG00000109736,MFSD10,MFSD10,ENSG00000109736,30.92669204,71.05860569,1.200156851,1.26E-06
ENSG00000109919,MTCH2,MTCH2,ENSG00000109919,38.65104497,93.12879834,1.268719944,2.37E-10
ENSG00000109971,HSPA8,HSPA8,ENSG00000109971,193.2476171,625.1232801,1.693690106,0
ENSG00000110092,CCND1,CCND1,ENSG00000110092,127.039937,362.1941918,1.51148131,0
ENSG00000110108,TMEM109,TMEM109,ENSG00000110108,37.91968282,100.792682,1.410372094,0
ENSG00000110484,SCGB2A2,SCGB2A2,ENSG00000110484,177.7470708,617.6764096,1.797025447,0
ENSG00000110492,MDK,MDK,ENSG00000110492,47.190914,146.0443437,1.629825464,0
ENSG00000110536,PTPMT1,PTPMT1,ENSG00000110536,25.40947688,65.34355837,1.362678346,8.77E-08
ENSG00000110700,RPS13,RPS13,ENSG00000110700,200.1308416,348.2934451,0.799359807,0
ENSG00000110801,PSMD9,PSMD9,ENSG00000110801,30.77306085,67.73227441,1.138175493,2.94E-05
ENSG00000110958,PTGES3,PTGES3,ENSG00000110958,99.51935763,191.7886379,0.946468175,6.69E-13
ENSG00000111057,KRT18,KRT18,ENSG00000111057,406.9253499,1296.453564,1.67173447,0
ENSG00000111142,METAP2,METAP2,ENSG00000111142,79.90188984,134.8345803,0.754889013,7.45E-05
ENSG00000111237,VPS29,VPS29,ENSG00000111237,52.88830909,102.7742324,0.95845784,4.21E-06
ENSG00000111266,DUSP16,DUSP16,ENSG00000111266,20.06746553,44.07141912,1.134984934,0.006965152
ENSG00000111319,SCNN1A,SCNN1A,ENSG00000111319,24.9002654,63.29685839,1.345972777,2.67E-07
ENSG00000111321,LTBR,LTBR,ENSG00000111321,36.0775376,76.714578,1.088399884,1.33E-05
ENSG00000111331,OAS3,OAS3,ENSG00000111331,23.92303517,61.74921307,1.368020312,3.83E-07
ENSG00000111335,OAS2,OAS2,ENSG00000111335,21.58942308,47.95959498,1.151494784,0.00398764
ENSG00000111341,MGP,MGP,ENSG00000111341,579.5480621,1443.680663,1.316751444,0
ENSG00000111371,SLC38A1,SLC38A1,ENSG00000111371,59.09125012,162.5340959,1.459725968,0
ENSG00000111481,COPZ1,COPZ1,ENSG00000111481,69.20977915,119.3922742,0.786661678,0.000119966
ENSG00000111530,CAND1,CAND1,ENSG00000111530,42.19777251,100.2007507,1.247654566,7.29E-11
ENSG00000111639,MRPL51,MRPL51,ENSG00000111639,56.12501697,122.3390012,1.124168522,5.35E-11
ENSG00000111640,GAPDH,GAPDH,ENSG00000111640,956.2761793,1974.258444,1.045811617,0
ENSG00000111775,COX6A1,COX6A1,ENSG00000111775,89.75201385,172.8369531,0.945395488,2.68E-11
ENSG00000111843,TMEM14C,TMEM14C,ENSG00000111843,30.44411881,65.14064963,1.097394552,9.82E-05
ENSG00000111846,GCNT2,GCNT2,ENSG00000111846,20.96032298,46.30483388,1.14350186,0.004114655
ENSG00000112081,SRSF3,SRSF3,ENSG00000112081,167.307646,275.1209782,0.717562772,5.76E-11
ENSG00000112118,MCM3,MCM3,ENSG00000112118,36.09187642,100.0447764,1.470899787,0
ENSG00000112245,PTP4A1,PTP4A1,ENSG00000112245,66.69815721,145.6671235,1.126956496,0
ENSG00000112282,MED23,MED23,ENSG00000112282,24.61270475,53.36716204,1.116549086,0.001267434
ENSG00000112306,RPS12,RPS12,ENSG00000112306,609.6971778,739.3448139,0.278154494,0.001052834
ENSG00000112312,GMNN,GMNN,ENSG00000112312,43.42558925,109.1346478,1.329491867,0
ENSG00000112378,PERP,PERP,ENSG00000112378,75.19435102,233.365143,1.633892898,0
ENSG00000112640,PPP2R5D,PPP2R5D,ENSG00000112640,26.2021309,58.76370143,1.165241128,0.000153255
ENSG00000112695,COX7A2,COX7A2,ENSG00000112695,139.8684374,310.9941583,1.152817039,0
ENSG00000112972,HMGCS1,HMGCS1,ENSG00000112972,43.13663125,99.09688169,1.199926147,6.30E-10
ENSG00000113013,HSPA9,HSPA9,ENSG00000113013,94.61255493,269.857126,1.51209224,0
ENSG00000113384,GOLPH3,GOLPH3,ENSG00000113384,59.87634378,104.6704579,0.805796281,0.000510838
ENSG00000113558,SKP1,SKP1,ENSG00000113558,127.9036133,237.6688937,0.893896073,0
ENSG00000113575,PPP2CA,PPP2CA,ENSG00000113575,96.79744983,164.5318238,0.765325713,1.12E-06
ENSG00000113649,TCERG1,TCERG1,ENSG00000113649,34.46653886,83.04594179,1.26871324,4.52E-09
ENSG00000113712,CSNK1A1,CSNK1A1,ENSG00000113712,81.76206021,165.4018086,1.016471556,1.34E-12
ENSG00000113719,ERGIC1,ERGIC1,ENSG00000113719,69.86722719,164.8710839,1.238650602,0
ENSG00000113810,SMC4,SMC4,ENSG00000113810,56.67097974,97.15357172,0.777656891,0.002423537
ENSG00000113845,TIMMDC1,TIMMDC1,ENSG00000113845,30.82804382,65.56056465,1.088584933,0.000154588
ENSG00000114019,AMOTL2,AMOTL2,ENSG00000114019,34.39717824,98.36139059,1.515801913,0
ENSG00000114021,NIT2,NIT2,ENSG00000114021,26.78334258,60.02751755,1.164287985,6.08E-05
ENSG00000114023,FAM162A,FAM162A,ENSG00000114023,33.2438858,72.47254056,1.124345445,1.08E-05
ENSG00000114030,KPNA1,KPNA1,ENSG00000114030,43.75932191,79.0775849,0.853678428,0.003442816
ENSG00000114125,RNF7,RNF7,ENSG00000114125,47.15340061,103.0550943,1.127982099,3.88E-09
ENSG00000114315,HES1,HES1,ENSG00000114315,118.9722595,261.218282,1.134630649,0
ENSG00000114346,ECT2,ECT2,ENSG00000114346,29.87413039,88.81690554,1.571937589,0
ENSG00000114354,TFG,TFG,ENSG00000114354,66.17447159,118.7165417,0.843174296,1.99E-05
ENSG00000114391,RPL24,RPL24,ENSG00000114391,151.2214357,252.3915921,0.739001194,1.66E-10
ENSG00000114416,FXR1,FXR1,ENSG00000114416,38.59578363,72.74416762,0.914388332,0.003153041
ENSG00000114491,UMPS,UMPS,ENSG00000114491,20.20187468,48.33591634,1.258606414,0.000255565
ENSG00000114503,NCBP2,NCBP2,ENSG00000114503,33.02834961,76.70659527,1.215645745,2.91E-07
ENSG00000114554,PLXNA1,PLXNA1,ENSG00000114554,20.84940487,49.85836684,1.257829423,0.000263764
ENSG00000114686,MRPL3,MRPL3,ENSG00000114686,26.28877757,64.33518729,1.291160959,8.90E-07
ENSG00000114850,SSR3,SSR3,ENSG00000114850,61.32234316,119.2924777,0.960018343,1.38E-07
ENSG00000114867,EIF4G1,EIF4G1,ENSG00000114867,64.52772697,166.5590817,1.368042908,0
ENSG00000114902,SPCS1,SPCS1,ENSG00000114902,51.40439995,105.7688742,1.040951374,1.10E-07
ENSG00000114942,EEF1B2,EEF1B2,ENSG00000114942,111.1898904,171.1473726,0.622213523,0.000333423
ENSG00000115053,NCL,NCL,ENSG00000115053,196.232932,382.9835924,0.96471541,0
ENSG00000115109,EPB41L5,EPB41L5,ENSG00000115109,23.99549558,58.9780384,1.29741423,7.29E-06
ENSG00000115207,GTF3C2,GTF3C2,ENSG00000115207,23.66977175,52.56466222,1.151047447,0.000886355
ENSG00000115233,PSMD14,PSMD14,ENSG00000115233,33.01436649,91.02987797,1.463246184,0
ENSG00000115241,PPM1G,PPM1G,ENSG00000115241,65.50874418,127.1357349,0.956610198,3.41E-08
ENSG00000115255,REEP6,REEP6,ENSG00000115255,20.44373851,48.577671,1.24863428,0.000362348
ENSG00000115268,RPS15,RPS15,ENSG00000115268,188.7591243,298.4531861,0.660958272,5.17E-10
ENSG00000115286,NDUFS7,NDUFS7,ENSG00000115286,56.04330215,125.1546826,1.159098401,4.02E-12
ENSG00000115307,AUP1,AUP1,ENSG00000115307,49.82740686,95.53174411,0.939040709,2.56E-05
ENSG00000115414,FN1,FN1,ENSG00000115414,46.00379112,125.522875,1.448125639,0
ENSG00000115415,STAT1,STAT1,ENSG00000115415,50.78409813,109.5724809,1.109436784,2.60E-09
ENSG00000115457,IGFBP2,IGFBP2,ENSG00000115457,56.6275878,121.8924196,1.106031427,2.11E-10
ENSG00000115468,EFHD1,EFHD1,ENSG00000115468,40.79020614,117.2323918,1.523076544,0
ENSG00000115484,CCT4,CCT4,ENSG00000115484,53.94572888,134.4678014,1.317680113,0
ENSG00000115541,HSPE1,HSPE1,ENSG00000115541,51.28226846,125.4090033,1.29010894,0
ENSG00000115648,MLPH,MLPH,ENSG00000115648,110.9508335,277.734162,1.323784137,0
ENSG00000115677,HDLBP,HDLBP,ENSG00000115677,68.9089704,148.8805793,1.111391867,0
ENSG00000115806,GORASP2,GORASP2,ENSG00000115806,35.11415997,88.860329,1.339486561,1.18E-10
ENSG00000115875,SRSF7,SRSF7,ENSG00000115875,55.44298502,131.6728778,1.247881369,0
ENSG00000115884,SDC1,SDC1,ENSG00000115884,114.7220539,349.680752,1.607895627,0
ENSG00000115902,SLC1A4,SLC1A4,ENSG00000115902,23.442552,49.08596103,1.066180829,0.007549099
ENSG00000115963,RND3,RND3,ENSG00000115963,30.23313382,85.37588008,1.497698016,6.69E-13
ENSG00000116005,PCYOX1,PCYOX1,ENSG00000116005,22.99803086,54.9110074,1.255585039,6.42E-05
ENSG00000116016,EPAS1,EPAS1,ENSG00000116016,30.23191255,71.99106678,1.251745646,4.85E-07
ENSG00000116133,DHCR24,DHCR24,ENSG00000116133,72.02482942,214.8067197,1.576472882,0
ENSG00000116161,CACYBP,CACYBP,ENSG00000116161,42.12000648,96.2534883,1.192333168,2.09E-09
ENSG00000116209,TMEM59,TMEM59,ENSG00000116209,86.44703635,170.8334028,0.98270168,4.02E-12
ENSG00000116237,ICMT,ICMT,ENSG00000116237,24.55559746,52.9772287,1.109320452,0.002635611
ENSG00000116260,QSOX1,QSOX1,ENSG00000116260,96.2245471,243.2855932,1.338174009,0
ENSG00000116285,ERRFI1,ERRFI1,ENSG00000116285,37.77964693,99.36377293,1.395110736,0
ENSG00000116299,KIAA1324,KIAA1324,ENSG00000116299,44.84584179,122.7466922,1.452638021,0
ENSG00000116586,LAMTOR2,LAMTOR2,ENSG00000116586,51.08530825,88.26144667,0.788874952,0.005899586
ENSG00000116857,TMEM9,TMEM9,ENSG00000116857,43.46205362,110.5481729,1.346846932,0
ENSG00000117118,SDHB,SDHB,ENSG00000117118,27.060871,61.59327569,1.186564581,3.76E-05
ENSG00000117139,KDM5B,KDM5B,ENSG00000117139,40.42822953,104.57761,1.371139074,0
ENSG00000117143,UAP1,UAP1,ENSG00000117143,37.15749331,89.4162897,1.266884504,1.00E-09
ENSG00000117308,GALE,GALE,ENSG00000117308,25.063063,59.29811843,1.242423588,1.39E-05
ENSG00000117318,ID3,ID3,ENSG00000117318,50.25961834,134.1559765,1.416439705,0
ENSG00000117335,CD46,CD46,ENSG00000117335,131.1178295,348.8356277,1.411683517,0
ENSG00000117399,CDC20,CDC20,ENSG00000117399,22.65921284,49.64221679,1.131469797,0.002941146
ENSG00000117410,ATP6V0B,ATP6V0B,ENSG00000117410,124.2860627,188.3233747,0.599547555,0.000247759
ENSG00000117448,AKR1A1,AKR1A1,ENSG00000117448,35.77039261,84.39200264,1.238340336,1.19E-08
ENSG00000117450,PRDX1,PRDX1,ENSG00000117450,118.6031641,349.2832862,1.55825511,0
ENSG00000117472,TSPAN1,TSPAN1,ENSG00000117472,43.92110984,112.9552808,1.362765305,0
ENSG00000117519,CNN3,CNN3,ENSG00000117519,52.48546448,163.0796207,1.635586669,0
ENSG00000117593,DARS2,DARS2,ENSG00000117593,22.79600716,56.19515009,1.301664474,7.65E-06
ENSG00000117595,IRF6,IRF6,ENSG00000117595,36.72312483,78.09582492,1.088556597,5.92E-06
ENSG00000117724,CENPF,CENPF,ENSG00000117724,40.25771372,88.29454196,1.133059016,1.46E-07
ENSG00000117906,RCN2,RCN2,ENSG00000117906,25.83206684,58.3157443,1.174722361,9.49E-05
ENSG00000118680,MYL12B,MYL12B,ENSG00000118680,238.3173143,430.6755084,0.853717512,0
ENSG00000118705,RPN2,RPN2,ENSG00000118705,163.2341843,357.2951471,1.130173102,0
ENSG00000118849,RARRES1,RARRES1,ENSG00000118849,36.70680852,110.2155942,1.586208773,0
ENSG00000119333,WDR34,WDR34,ENSG00000119333,67.38538594,230.2377113,1.772616507,0
ENSG00000119335,SET,SET,ENSG00000119335,121.8968555,179.7188639,0.560080936,0.003105846
ENSG00000119421,NDUFA8,NDUFA8,ENSG00000119421,29.13558593,59.85625456,1.038719682,0.00222976
ENSG00000119431,HDHD3,HDHD3,ENSG00000119431,23.27571772,49.72322376,1.09509418,0.006205427
ENSG00000119705,SLIRP,SLIRP,ENSG00000119705,46.9009322,107.0617716,1.190754928,1.04E-10
ENSG00000119725,ZNF410,ZNF410,ENSG00000119725,19.03159518,43.34907106,1.187604589,0.004178504
ENSG00000119729,RHOQ,RHOQ,ENSG00000119729,37.27120525,82.92133422,1.153681857,4.70E-07
ENSG00000119888,EPCAM,EPCAM,ENSG00000119888,100.2521447,323.3001415,1.689241038,0
ENSG00000120438,TCP1,TCP1,ENSG00000120438,59.41252908,137.6505045,1.212170789,0
ENSG00000120509,PDZD11,PDZD11,ENSG00000120509,25.08288793,66.26020705,1.401439249,1.91E-08
ENSG00000120533,ENY2,ENY2,ENSG00000120533,41.77201331,75.76357673,0.858967761,0.007632957
ENSG00000120549,KIAA1217,KIAA1217,ENSG00000120549,31.98952518,83.26513377,1.380112933,9.77E-11
ENSG00000120694,HSPH1,HSPH1,ENSG00000120694,37.68560594,93.93837648,1.31770107,5.69E-11
ENSG00000120705,ETF1,ETF1,ENSG00000120705,42.5730353,88.23363778,1.051388814,2.19E-06
ENSG00000120725,SIL1,SIL1,ENSG00000120725,33.02654151,65.23458584,0.982011149,0.001717777
ENSG00000120802,TMPO,TMPO,ENSG00000120802,48.08133476,90.29434093,0.909158625,0.000138933
ENSG00000120805,ARL1,ARL1,ENSG00000120805,34.45381285,83.0398528,1.269140238,4.44E-09
ENSG00000120875,DUSP4,DUSP4,ENSG00000120875,57.52264496,159.7541161,1.473651184,0
ENSG00000121073,SLC35B1,SLC35B1,ENSG00000121073,30.79840448,68.15883872,1.146045142,1.34E-05
ENSG00000121579,NAA50,NAA50,ENSG00000121579,47.30454994,106.4817761,1.170555681,4.06E-10
ENSG00000121774,KHDRBS1,KHDRBS1,ENSG00000121774,56.72611625,100.9591173,0.831686204,0.000444583
ENSG00000121858,TNFSF10,TNFSF10,ENSG00000121858,55.57580366,122.006768,1.134432368,2.68E-11
ENSG00000121900,TMEM54,TMEM54,ENSG00000121900,22.579376,55.77068607,1.304501402,1.40E-05
ENSG00000122034,GTF3A,GTF3A,ENSG00000122034,42.89024826,92.90944867,1.115175656,1.44E-07
ENSG00000122140,MRPS2,MRPS2,ENSG00000122140,21.33937327,47.45427981,1.153020402,0.002902042
ENSG00000122203,KIAA1191,KIAA1191,ENSG00000122203,34.83697061,68.68801297,0.979439176,0.001291707
ENSG00000122218,COPA,COPA,ENSG00000122218,107.5797174,165.8072474,0.624100964,0.00064765
ENSG00000122406,RPL5,RPL5,ENSG00000122406,207.9630589,430.1978879,1.048673161,0
ENSG00000122566,HNRNPA2B1,HNRNPA2B1,ENSG00000122566,343.0883855,437.6119462,0.351071835,0.00293415
ENSG00000122861,PLAU,PLAU,ENSG00000122861,29.16021741,75.35465512,1.369695163,2.34E-09
ENSG00000122952,ZWINT,ZWINT,ENSG00000122952,20.88071356,51.84219698,1.311955844,4.42E-05
ENSG00000123064,DDX54,DDX54,ENSG00000123064,28.13097305,58.29359173,1.051177839,0.001556731
ENSG00000123131,PRDX4,PRDX4,ENSG00000123131,34.24828029,96.51068715,1.494657161,0
ENSG00000123136,DDX39A,DDX39A,ENSG00000123136,41.06033968,92.03626701,1.164456907,1.51E-08
ENSG00000123297,TSFM,TSFM,ENSG00000123297,22.41468782,49.03543675,1.129380321,0.002165452
ENSG00000123353,ORMDL2,ORMDL2,ENSG00000123353,30.42017874,69.45669848,1.191085206,3.56E-06
ENSG00000123358,NR4A1,NR4A1,ENSG00000123358,208.4103402,497.54557,1.25540181,0
ENSG00000123416,TUBA1B,TUBA1B,ENSG00000123416,263.7881383,402.6306724,0.610077388,6.69E-12
ENSG00000123562,MORF4L2,MORF4L2,ENSG00000123562,74.80165116,178.5930582,1.255533983,0
ENSG00000123975,CKS2,CKS2,ENSG00000123975,30.59126343,60.32914672,0.979735486,0.00500592
ENSG00000123983,ACSL3,ACSL3,ENSG00000123983,38.94251487,90.79883403,1.221327717,5.02E-09
ENSG00000123992,DNPEP,DNPEP,ENSG00000123992,29.33663333,66.54269774,1.18157704,1.08E-05
ENSG00000124098,FAM210B,FAM210B,ENSG00000124098,45.3763358,83.04883358,0.872019792,0.001126009
ENSG00000124107,SLPI,SLPI,ENSG00000124107,54.37137719,157.5994187,1.535342938,0
ENSG00000124145,SDC4,SDC4,ENSG00000124145,164.6825381,296.2802979,0.847275104,0
ENSG00000124155,PIGT,PIGT,ENSG00000124155,69.07069553,183.8110984,1.412078222,0
ENSG00000124207,CSE1L,CSE1L,ENSG00000124207,37.06519378,94.3242512,1.347563688,8.03E-12
ENSG00000124209,RAB22A,RAB22A,ENSG00000124209,23.89328302,51.75748296,1.11516236,0.002643186
ENSG00000124214,STAU1,STAU1,ENSG00000124214,66.29162973,123.1402148,0.893403364,9.90E-07
ENSG00000124225,PMEPA1,PMEPA1,ENSG00000124225,25.38468285,56.34551556,1.150342558,0.000284481
ENSG00000124226,RNF114,RNF114,ENSG00000124226,33.86991179,74.0284335,1.128075271,4.62E-06
ENSG00000124466,LYPD3,LYPD3,ENSG00000124466,22.43720017,53.43640346,1.25193025,7.06E-05
ENSG00000124562,SNRPC,SNRPC,ENSG00000124562,46.86240937,86.82695226,0.889711814,0.00061626
ENSG00000124571,XPO5,XPO5,ENSG00000124571,21.85226599,50.77700094,1.216392298,0.000442528
ENSG00000124614,RPS10,RPS10,ENSG00000124614,142.4110552,211.8639061,0.57307668,0.000189656
ENSG00000124664,SPDEF,SPDEF,ENSG00000124664,52.85923737,151.2496272,1.51670407,0
ENSG00000124702,KLHDC3,KLHDC3,ENSG00000124702,31.54861122,65.83446856,1.061266626,0.000352277
ENSG00000124766,SOX4,SOX4,ENSG00000124766,270.8724225,542.478294,1.001951892,0
ENSG00000124767,GLO1,GLO1,ENSG00000124767,42.04634699,101.2541513,1.267928688,2.41E-11
ENSG00000124935,SCGB1D2,SCGB1D2,ENSG00000124935,49.91544589,170.8381471,1.775071937,0
ENSG00000124942,AHNAK,AHNAK,ENSG00000124942,97.41067476,172.9852851,0.828497537,1.94E-08
ENSG00000125148,MT2A,MT2A,ENSG00000125148,76.58601178,178.4638472,1.220479029,0
ENSG00000125166,GOT2,GOT2,ENSG00000125166,31.82555264,73.44138962,1.206407791,7.60E-07
ENSG00000125304,TM9SF2,TM9SF2,ENSG00000125304,63.62185046,130.059827,1.031581171,5.96E-10
ENSG00000125356,NDUFA1,NDUFA1,ENSG00000125356,145.8077211,214.8460643,0.559236231,0.000302929
ENSG00000125378,BMP4,BMP4,ENSG00000125378,21.14593953,49.91559551,1.239109977,0.000401072
ENSG00000125398,SOX9,SOX9,ENSG00000125398,29.33299275,64.92517276,1.146253676,5.67E-05
ENSG00000125445,MRPS7,MRPS7,ENSG00000125445,38.71368146,78.93694595,1.027857196,5.48E-05
ENSG00000125656,CLPP,CLPP,ENSG00000125656,31.72134619,64.34775305,1.020435775,0.000900004
ENSG00000125743,SNRPD2,SNRPD2,ENSG00000125743,96.52453137,207.4718069,1.103947754,0
ENSG00000125818,PSMF1,PSMF1,ENSG00000125818,38.4856059,82.27169217,1.096077157,2.05E-06
ENSG00000125826,RBCK1,RBCK1,ENSG00000125826,42.66025443,82.72772386,0.955478319,0.000178284
ENSG00000125835,SNRPB,SNRPB,ENSG00000125835,78.18931511,210.5872008,1.429374378,0
ENSG00000125844,RRBP1,RRBP1,ENSG00000125844,55.12289727,99.67546471,0.854586708,0.000218791
ENSG00000125868,DSTN,DSTN,ENSG00000125868,177.7031515,474.7172964,1.417599349,0
ENSG00000125901,MRPS26,MRPS26,ENSG00000125901,31.12320204,75.274592,1.274172487,4.83E-08
ENSG00000125912,NCLN,NCLN,ENSG00000125912,27.9376914,64.28689233,1.202311801,9.30E-06
ENSG00000125944,HNRNPR,HNRNPR,ENSG00000125944,56.14869217,124.1613292,1.144891583,1.07E-11
