"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"1","21","CFLAR","ENSG00000003402","-4561.9","-4561.9","1","0.824218026570517","0"
"8","85","MAST4","ENSG00000069020","-5439.55","-5439.55","1","0.780034626397559","0"
"9","35","DGKD","ENSG00000077044","-7190.2","-7190.2","1","0.64147809843656","0"
"13","209","ZMYND8","ENSG00000101040","-9178.5","-9178.5","1","0.516824527595614","0"
"15","130","RIOK3","ENSG00000101782","-5117.2","-5117.2","1","0.726276720243572","0"
"19","82","LUC7L3","ENSG00000108848","-5791.35","-5791.35","1","0.554416121277725","0"
"21","12","BIN2","ENSG00000110934","-6771.9","-6771.9","1","0.704215469332469","0"
"23","47","FRMD4B","ENSG00000114541","-4582.6","-4582.6","1","0.684349287811602","0"
"26","182","THOC2","ENSG00000125676","-9583.65","-9583.65","1","0.605489178592088","0"
"31","87","MBNL1","ENSG00000152601","-4431.3","-4431.3","1","0.768601257980608","0"
"32","34","LOC112267931","ENSG00000153071","-9238.75","-9238.75","1","0.604362792754705","0"
"33","34","DAB2","ENSG00000153071","-9238.75","-9238.75","1","0.604362792754705","0"
"37","25","CNST","ENSG00000162852","-7534.95","-7534.95","1","0.709711679672872","0"
"38","23","CLEC1B","ENSG00000165682","-5376.95","-5376.95","1","0.627474271480367","0"
"43","164","RUFY1","ENSG00000176783","-6147.65","-6147.65","1","0.707884879832904","0"
"44","84","MALAT1","ENSG00000251562","-21535.05","-21535.05","1","0.37405529846134","0"
"12","185","TMEM40","ENSG00000088726","-4126.55","-4126.55","1","0.825549588812301","0.00334351761111431"
"17","204","XPNPEP1","ENSG00000108039","-4077.5","-4077.5","1","0.902103355057826","0.00334351761111431"
"42","169","SELP","ENSG00000174175","-4235.2","-4235.2","1","0.776439432334039","0.00334351761111431"
"3","68","IFRD1","ENSG00000006652","-4020.6","-4020.6","1","0.676912824445207","0.00433612440191388"
"25","7","AMD1","ENSG00000123505","-3982.8","-3982.8","1","0.783686037630475","0.00433612440191388"
"2","69","ITGA2B","ENSG00000005961","-3668.45","-3668.45","1","0.875634395979273","0.00544141101416643"
"5","120","RAB27B","ENSG00000041353","-3774.6","-3774.6","1","0.805507111532614","0.00544141101416643"
"10","31","CTTN","ENSG00000085733","-3840.4","-3840.4","1","0.820114477262355","0.00544141101416643"
"11","110","PPP1R15A","ENSG00000087074","-3775.2","-3775.2","1","0.807093777922312","0.00544141101416643"
"30","40","ESAM","ENSG00000149564","-3879.25","-3879.25","1","0.846660808485485","0.00544141101416643"
"16","192","TSC22D1","ENSG00000102804","-3559.9","-3559.9","1","0.898905713133167","0.0121715772685302"
"27","86","MAX","ENSG00000125952","-3464.05","-3464.05","1","0.870736735655431","0.0141107777147028"
"7","74","KIF2A","ENSG00000068796","-3290.85","-3290.85","1","0.739070600782273","0.0149076673652576"
"22","3","ACRBP","ENSG00000111644","-3414.65","-3414.65","1","0.865960132735504","0.0149076673652576"
"24","124","RBBP6","ENSG00000122257","-3266.1","-3266.1","1","0.787559074779966","0.0149076673652576"
"36","95","NEXN","ENSG00000162614","-3308.25","-3308.25","1","0.801241152701084","0.0149076673652576"
"28","118","PTPN12","ENSG00000127947","-3172.6","-3172.6","1","0.851784734231045","0.0154173312068049"
"40","80","LIMS1","ENSG00000169756","-3184.4","-3184.4","1","0.827964082552185","0.0154173312068049"
"29","70","ITM2B","ENSG00000136156","-2791.1","-2791.1","1","0.863097723735935","0.0317156527682844"
"34","24","CMIP","ENSG00000153815","-2811","-2811","1","0.841771156585656","0.0317156527682844"
"4","201","VCL","ENSG00000035403","-2629.2","-2629.2","1","0.886923100366508","0.0334588890020021"
"18","2","ABCC3","ENSG00000108846","-2689.7","-2689.7","1","0.865160731693392","0.0334588890020021"
"39","48","FTH1","ENSG00000167996","-2565.6","-2565.6","1","0.753828514850711","0.0349315756014321"
"20","89","MMD","ENSG00000108960","-2404.65","-2404.65","1","0.792859028031462","0.0366161616161616"
"14","197","TUBB1","ENSG00000101162","-2299.9","-2299.9","1","0.975344413403898","0.0392344497607656"
"6","173","SLC2A3","ENSG00000059804","-1965.3","-1965.3","1","0.88968939483657","0.0459394801500065"
"35","116","PTGIR","ENSG00000160013","-1962","-1962","1","0.869232789462002","0.0459394801500065"
"41","115","PTCRA","ENSG00000171611","-1955.9","-1955.9","1","0.883259222171454","0.0459394801500065"
