"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"1","21","CFLAR","ENSG00000003402","766.5","766.5","1","5.45872913351582","0"
"2","69","ITGA2B","ENSG00000005961","1036.6","1036.6","1","49.682245875301","0"
"3","68","IFRD1","ENSG00000006652","955.45","955.45","1","326.756058421333","0"
"5","201","VCL","ENSG00000035403","461.95","461.95","1","2.17568217878261","0"
"6","120","RAB27B","ENSG00000041353","709.75","709.75","1","423.400639952107","0"
"7","173","SLC2A3","ENSG00000059804","783.45","783.45","1","21.6667752841484","0"
"8","30","CTSA","ENSG00000064601","427.2","427.2","1","3.38788219742058","0"
"9","75","KLF6","ENSG00000067082","802.55","802.55","1","24.5849678357823","0"
"10","74","KIF2A","ENSG00000068796","591.7","591.7","1","125.579352158724","0"
"11","123","RASGRP2","ENSG00000068831","1104.75","1104.75","1","1561.09145881297","0"
"12","85","MAST4","ENSG00000069020","1054.3","1054.3","1","55.872149207217","0"
"13","126","RDH11","ENSG00000072042","463.95","463.95","1","2.2282026139934","0"
"14","5","ACTN1","ENSG00000072110","548.5","548.5","1","520.086127579161","0"
"16","10","ATP2A3","ENSG00000074370","909.1","909.1","1","79.1291951906529","0"
"17","35","DGKD","ENSG00000077044","1139.4","1139.4","1","201.238423402953","0"
"18","32","CXCL2","ENSG00000081041","970.2","970.2","1","34200709312.2864","0"
"19","31","CTTN","ENSG00000085733","1024.25","1024.25","1","16.3473255601192","0"
"20","110","PPP1R15A","ENSG00000087074","819.6","819.6","1","8.69809736007304","0"
"21","185","TMEM40","ENSG00000088726","755.6","755.6","1","36.5130924372911","0"
"22","117","PTGS1","ENSG00000095303","550.1","550.1","1","13.2697778279677","0"
"23","73","KCNK6","ENSG00000099337","845.4","845.4","1","25.4127491423432","0"
"25","58","GRAP2","ENSG00000100351","745.55","745.55","1","38.4130763054388","0"
"26","97","NFKBIA","ENSG00000100906","929","929","1","50.611117178236","0"
"27","209","ZMYND8","ENSG00000101040","1030.5","1030.5","1","108.22501543943","0"
"33","180","TGFB1","ENSG00000105329","848","848","1","189.016301474447","0"
"34","171","SERPINE1","ENSG00000106366","1048.35","1048.35","1","486.576898471689","0"
"35","204","XPNPEP1","ENSG00000108039","855.4","855.4","1","9.88661459349945","0"
"36","102","P2RX1","ENSG00000108405","978.4","978.4","1","809.726022649665","0"
"37","66","ICAM2","ENSG00000108622","848.65","848.65","1","863.541147889571","0"
"38","2","ABCC3","ENSG00000108846","966.25","966.25","1","43.4907277392277","0"
"39","82","LUC7L3","ENSG00000108848","625.2","625.2","1","38.8739998953082","0"
"42","12","BIN2","ENSG00000110934","951.9","951.9","1","50.0408264026542","0"
"43","3","ACRBP","ENSG00000111644","1036.45","1036.45","1","92.1494194569406","0"
"45","47","FRMD4B","ENSG00000114541","981.4","981.4","1","850.331028250823","0"
"47","108","PLEK","ENSG00000115956","475.5","475.5","1","71.7753798612204","0"
"48","113","PRRC2C","ENSG00000117523","471.45","471.45","1","6.00316152916822","0"
"49","79","LGALSL","ENSG00000119862","651.85","651.85","1","71.3677830305583","0"
"51","124","RBBP6","ENSG00000122257","1046.15","1046.15","1","63.7408730648997","0"
"53","7","AMD1","ENSG00000123505","784.25","784.25","1","10.6172641703525","0"
"55","182","THOC2","ENSG00000125676","1212.8","1212.8","1","102.40949960384","0"
"56","46","FOSB","ENSG00000125740","814.15","814.15","1","10023856986.4016","0"
"57","43","FAM110A","ENSG00000125898","809.05","809.05","1","84.6292561509377","0"
"58","86","MAX","ENSG00000125952","818.25","818.25","1","5.62005295489968","0"
"61","53","GNG11","ENSG00000127920","565.5","565.5","1","9.46423249108737","0"
"62","118","PTPN12","ENSG00000127947","875.75","875.75","1","52.5815449079149","0"
"63","207","ZFP36","ENSG00000128016","993.6","993.6","1","464.230101325834","0"
"65","52","GNAZ","ENSG00000128266","663.5","663.5","1","290.178192079883","0"
"66","190","TPST2","ENSG00000128294","636.5","636.5","1","61.7854511860236","0"
"67","168","SAT1","ENSG00000130066","416.8","416.8","1","2.190325134963","0"
"68","72","JUND","ENSG00000130522","609.85","609.85","1","17.0899162321185","0"
"70","181","THBS1","ENSG00000137801","574.55","574.55","1","53.1810260505348","0"
"72","129","RHOB","ENSG00000143878","590.6","590.6","1","6454313324.91303","0"
"73","29","CTDSPL","ENSG00000144677","623.55","623.55","1","345.964376370457","0"
"74","59","GSTO1","ENSG00000148834","531.65","531.65","1","10.7361865297681","0"
"75","40","ESAM","ENSG00000149564","769.35","769.35","1","144.845948732916","0"
"76","44","FERMT3","ENSG00000149781","515.75","515.75","1","2.43786051419649","0"
"77","128","RGS18","ENSG00000150681","534.75","534.75","1","70.4278587283644","0"
"78","87","MBNL1","ENSG00000152601","536.15","536.15","1","4.31110379537629","0"
