ENSG00000142208,AKT1,S1
ENSG00000039068,CDH1,S3
ENSG00000146648,EGFR,S1
ENSG00000116016,EPAS1,S1
ENSG00000141736,ERBB2,S1
ENSG00000100644,HIF1A,S1
ENSG00000166949,SMAD3,S1
ENSG00000101665,SMAD7,S1
ENSG00000105976,MET,S1
ENSG00000168036,CTNNB1,S2
ENSG00000166333,ILK,S2
ENSG00000105329,TGFB1,S2
ENSG00000169554,ZEB2,S2
ENSG00000175387,SMAD2,S1
ENSG00000141646,SMAD4,S1
ENSG00000124216,SNAI1,S3
ENSG00000019549,SNAI2,S3
ENSG00000122691,TWIST1,S3
ENSG00000148516,ZEB1,S3
ENSG00000140443,IGF1R,S3
