1 vs. 2,ENSG00000159023,0.062905778,0.157264445,-136.8294737,136.8294737
1 vs. 2,ENSG00000013810,0.071832799,0.172985545,134.0673684,134.0673684
1 vs. 2,ENSG00000179361,0.015878875,0.056186789,133.5157895,133.5157895
1 vs. 2,ENSG00000123405,3.20E-05,0.00105288,132.1663158,132.1663158
1 vs. 2,ENSG00000137154,0.095913755,0.202386823,-131.6589474,131.6589474
1 vs. 2,ENSG00000142541,0.499990911,0.664727801,-128.8084211,128.8084211
1 vs. 2,ENSG00000111057,0.523460502,0.682025141,-123.5284211,123.5284211
1 vs. 2,ENSG00000185624,0.259979869,0.412381862,-122.1915789,122.1915789
1 vs. 2,ENSG00000168461,0.247530787,0.400930148,120.7642105,120.7642105
1 vs. 2,ENSG00000156482,0.205778475,0.348007714,-112.7726316,112.7726316
1 vs. 2,ENSG00000144802,0.55032947,0.695471309,-112.7178947,112.7178947
1 vs. 2,ENSG00000163734,0.100020926,0.207250568,-111.0821053,111.0821053
1 vs. 2,ENSG00000153815,3.65E-04,0.004967912,109.56,109.56
1 vs. 2,ENSG00000138326,0.080662925,0.181886988,-105.7305263,105.7305263
1 vs. 2,ENSG00000165682,3.67E-04,0.004967912,104.8484211,104.8484211
1 vs. 2,ENSG00000108298,0.415009581,0.575013275,-104.7178947,104.7178947
1 vs. 2,ENSG00000117155,0.015819636,0.056186789,103.3621053,103.3621053
1 vs. 2,ENSG00000063177,0.1055367,0.216241243,-99.74315789,99.74315789
1 vs. 2,ENSG00000197959,0.027817755,0.087644982,97.36631579,97.36631579
1 vs. 2,ENSG00000185650,0.002947812,0.016949921,-95.38315789,95.38315789
1 vs. 2,ENSG00000120738,0.540619292,0.690791317,-94.13684211,94.13684211
1 vs. 2,ENSG00000025708,0.253724122,0.40651384,-92.55789474,92.55789474
1 vs. 2,ENSG00000071051,0.007023889,0.030481027,89.84631579,89.84631579
1 vs. 2,ENSG00000198948,0.002815936,0.016949921,86.29684211,86.29684211
1 vs. 2,ENSG00000197958,0.072954773,0.172985545,-84.25894737,84.25894737
1 vs. 2,ENSG00000136942,0.128247362,0.243775977,-82.69684211,82.69684211
1 vs. 2,ENSG00000144713,0.656267373,0.774463529,-81.89473684,81.89473684
1 vs. 2,ENSG00000184602,0.038650503,0.107287365,78.54105263,78.54105263
1 vs. 2,ENSG00000115935,0.012876011,0.047765848,75.50947368,75.50947368
1 vs. 2,ENSG00000142676,0.164711128,0.291411995,-72.58526316,72.58526316
1 vs. 2,ENSG00000081041,0.005429905,0.024771828,-72.48631579,72.48631579
1 vs. 2,ENSG00000144677,7.63E-04,0.007593922,72.08842105,72.08842105
