"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"2","69","ITGA2B","ENSG00000005961","3195.4","3195.4","1","6.78772997702206","0"
"3","68","IFRD1","ENSG00000006652","3412.2","3412.2","1","62.0629247452471","0"
"5","17","CD9","ENSG00000010278","4746.5","4746.5","1","15.6884264979551","0"
"6","186","TMSB10","ENSG00000034510","7315.95","7315.95","1","19.1639670651241","0"
"8","75","KLF6","ENSG00000067082","4931.25","4931.25","1","29.911292987861","0"
"13","5","ACTN1","ENSG00000072110","4683.9","4683.9","1","527.585051121266","0"
"14","10","ATP2A3","ENSG00000074370","6082.7","6082.7","1","62.0924005563494","0"
"15","35","DGKD","ENSG00000077044","5668.05","5668.05","1","24.774902523096","0"
"16","63","HSP90AA1","ENSG00000080824","4769.1","4769.1","1","11.3608815842735","0"
"17","32","CXCL2","ENSG00000081041","4625.3","4625.3","1","5631109959.74181","0"
"18","31","CTTN","ENSG00000085733","5015.6","5015.6","1","7.51209251907355","0"
"19","110","PPP1R15A","ENSG00000087074","3032.35","3032.35","1","3.21363889730744","0"
"20","41","EZR","ENSG00000092820","3562.3","3562.3","1","317.462433233775","0"
"21","92","MYL6","ENSG00000092841","3174.3","3174.3","1","1.35938643537414","0"
"23","73","KCNK6","ENSG00000099337","3756.55","3756.55","1","13.2260359589367","0"
"26","97","NFKBIA","ENSG00000100906","5530","5530","1","29.7950658532154","0"
"28","28","CST3","ENSG00000101439","6681.7","6681.7","1","20.5354210369558","0"
"31","65","HSPB1","ENSG00000106211","3898.2","3898.2","1","41.6129542584351","0"
"37","82","LUC7L3","ENSG00000108848","3575.2","3575.2","1","25.2388249962946","0"
"38","139","RPL34","ENSG00000109475","5204.4","5204.4","1","6.49862013284438","0"
"40","3","ACRBP","ENSG00000111644","3020.3","3020.3","1","16.8302234288567","0"
"43","113","PRRC2C","ENSG00000117523","4294.05","4294.05","1","9.91408140168066","0"
"44","125","RBM25","ENSG00000119707","5487.2","5487.2","1","216.022133937628","0"
"46","36","DUSP1","ENSG00000120129","3886.15","3886.15","1","28.4933280779214","0"
"47","124","RBBP6","ENSG00000122257","3742.2","3742.2","1","10.0204348216939","0"
"48","182","THOC2","ENSG00000125676","5526.15","5526.15","1","22.7326708233084","0"
"49","134","RPL23","ENSG00000125691","4478","4478","1","6.29668973484284","0"
"50","46","FOSB","ENSG00000125740","6405.45","6405.45","1","26770850624.5267","0"
"53","207","ZFP36","ENSG00000128016","5848.1","5848.1","1","129.029607970366","0"
"57","72","JUND","ENSG00000130522","3965.45","3965.45","1","9.32380746276039","0"
"59","140","RPL35","ENSG00000136942","3324.35","3324.35","1","8.8048338178257","0"
"60","181","THBS1","ENSG00000137801","3600.05","3600.05","1","42.3048189778691","0"
"61","148","RPLP1","ENSG00000137818","4156.7","4156.7","1","5.40823393641899","0"
"63","131","RPL11","ENSG00000142676","4457.15","4457.15","1","5.47540359387138","0"
"65","188","TPM3","ENSG00000143549","3273.55","3273.55","1","2.73747097120785","0"
"66","129","RHOB","ENSG00000143878","6045","6045","1","26381613701.0828","0"
"69","142","RPL37","ENSG00000145592","4578.1","4578.1","1","15.0113995010679","0"
"72","24","CMIP","ENSG00000153815","4545.95","4545.95","1","32.0247266207664","0"
"74","136","RPL30","ENSG00000156482","3466.1","3466.1","1","5.19030942305539","0"
"75","116","PTGIR","ENSG00000160013","3204.55","3204.55","1","2.24251934747601e-07","0"
"76","81","LMNA","ENSG00000160789","7033.95","7033.95","1","105.958463375001","0"
"77","67","IER2","ENSG00000160888","4413.7","4413.7","1","32.2851325594817","0"
"78","95","NEXN","ENSG00000162614","3034.45","3034.45","1","20.6228922037778","0"
"79","33","CXCL3","ENSG00000163734","3951.25","3951.25","1","8235495.0904194","0"
"81","200","UQCRQ","ENSG00000164405","4766.65","4766.65","1","121.16343423805","0"
"82","135","RPL27A","ENSG00000166441","5887.75","5887.75","1","11.3112315521821","0"
"84","132","RPL13","ENSG00000167526","3184.7","3184.7","1","1.72680450652296","0"
"87","45","FOS","ENSG00000170345","6299.7","6299.7","1","50841279205.0824","0"
"89","71","JUNB","ENSG00000171223","5835.05","5835.05","1","62.425231221146","0"
"91","20","CFL1","ENSG00000172757","5684.7","5684.7","1","3.45109265560623","0"
"92","144","RPL38","ENSG00000172809","4094.4","4094.4","1","13.5529744116045","0"
"93","149","RPLP2","ENSG00000177600","5609.8","5609.8","1","5.60457203719842","0"
"94","141","RPL35A","ENSG00000182899","3953","3953","1","3.32803757435039","0"
"95","208","ZFP36L1","ENSG00000185650","5817.8","5817.8","1","21890373835.251","0"
"97","94","NAP1L1","ENSG00000187109","5261.4","5261.4","1","12.7372427201339","0"
"98","114","PSAP","ENSG00000197746","3825.45","3825.45","1","2.69740602188372","0"
"99","143","RPL37A","ENSG00000197756","5125.8","5125.8","1","9.9783692896898","0"
"104","84","MALAT1","ENSG00000251562","3752.25","3752.25","1","3.56958696221242","0"
"9","123","RASGRP2","ENSG00000068831","2652.05","2652.05","1","2.52919930748409e-08","0.00410116199589884"
"41","151","RPS12","ENSG00000112306","2864.35","2864.35","1","2.69612347194606","0.00410116199589884"
"55","168","SAT1","ENSG00000130066","2727.75","2727.75","1","1.70646724990682","0.00410116199589884"
"73","98","NRGN","ENSG00000154146","2886","2886","1","5.00887859460846","0.00410116199589884"
"96","156","RPS23","ENSG00000186468","2762.6","2762.6","1","6.03370556628643","0.00410116199589884"
"100","165","S100A6","ENSG00000197956","2980.6","2980.6","1","26.5976762041459","0.00410116199589884"
