"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"2","17","CD9","ENSG00000010278","4150.5","4150.5","1","1.40637258616619","0"
"4","186","TMSB10","ENSG00000034510","5787.45","5787.45","1","511872627.35733","0"
"5","30","CTSA","ENSG00000064601","4325.1","4325.1","1","1.27828796126451","0"
"6","137","RPL31","ENSG00000071082","3653.85","3653.85","1","1","0"
"7","202","WDR1","ENSG00000071127","3433.95","3433.95","1","1.32059229484134","0"
"8","5","ACTN1","ENSG00000072110","3627.6","3627.6","1","1.16412815118289","0"
"10","4","ACTB","ENSG00000075624","7939.15","7939.15","1","1.86295150566776","0"
"11","63","HSP90AA1","ENSG00000080824","4008.7","4008.7","1","562378615.957471","0"
"15","92","MYL6","ENSG00000092841","9467.15","9467.15","1","1.78751957492304","0"
"17","58","GRAP2","ENSG00000100351","3570.75","3570.75","1","1.14335658836122","0"
"18","93","MYL9","ENSG00000101335","7843.65","7843.65","1","3.11109988414421","0"
"19","28","CST3","ENSG00000101439","3665.55","3665.55","1","1.87874458160033","0"
"20","183","TIMP1","ENSG00000102265","3807.05","3807.05","1","1.44778226935668","0"
"21","27","COTL1","ENSG00000103187","6423.2","6423.2","1","2.76452969621552","0"
"22","180","TGFB1","ENSG00000105329","5538.6","5538.6","1","1.35617920816388","0"
"23","65","HSPB1","ENSG00000106211","3739.4","3739.4","1","355920073.673678","0"
"25","106","PFN1","ENSG00000108518","5860.1","5860.1","1","1.67568701326626","0"
"27","39","EIF4G2","ENSG00000110321","5212.2","5212.2","1","1.61937295773759","0"
"28","8","ARHGDIB","ENSG00000111348","3702.65","3702.65","1","1.34438513342061","0"
"29","50","GAPDH","ENSG00000111640","6606","6606","1","1.51489963881837","0"
"30","151","RPS12","ENSG00000112306","4115.6","4115.6","1","297322497.43286","0"
"33","203","WIPF1","ENSG00000115935","3760.6","3760.6","1","1.27597216909954","0"
"34","108","PLEK","ENSG00000115956","5890.4","5890.4","1","1.90251901587231","0"
"36","79","LGALSL","ENSG00000119862","3314.6","3314.6","1","1.39920363970061","0"
"37","36","DUSP1","ENSG00000120129","4250.55","4250.55","1","1.38693827585413","0"
"38","176","SRGN","ENSG00000122862","4054.3","4054.3","1","1.24241059157896","0"
"41","46","FOSB","ENSG00000125740","5425.45","5425.45","1","2.01583974241255","0"
"42","196","TUBA4A","ENSG00000127824","5635.4","5635.4","1","1.30067789855986","0"
"43","53","GNG11","ENSG00000127920","5171.7","5171.7","1","1.26217394846567","0"
"44","205","YWHAH","ENSG00000128245","4672.35","4672.35","1","1.29963341453286","0"
"45","52","GNAZ","ENSG00000128266","4722.3","4722.3","1","1.56931516152809","0"
"46","19","CDKN2D","ENSG00000129355","4997.6","4997.6","1","1.47251078868919","0"
"48","9","ARPC1B","ENSG00000130429","6959.95","6959.95","1","1.72727021389165","0"
"49","72","JUND","ENSG00000130522","5436.65","5436.65","1","1.44506493123955","0"
"50","191","TPT1","ENSG00000133112","3654","3654","1","1.60422604617564","0"
