CTC_GSE109761_Br16_AC10_212,4
CTC_GSE109761_Br16_AC19_212,4
CTC_GSE109761_Br16_B2_212,4
CTC_GSE109761_Br16_B3_212,4
CTC_GSE109761_Br16_B8_212,4
CTC_GSE109761_Br16_B12_212,4
CTC_GSE109761_Br16_B17_212,4
CTC_GSE109761_Br16_B32_212,4
CTC_GSE109761_Br16_B33_212,4
CTC_GSE109761_Br16_B34_212,4
CTC_GSE109761_Br16_B49_212,4
CTC_GSE109761_Br16_B50_212,4
CTC_GSE109761_Br16_B51_212,4
CTC_GSE109761_Br16_B52_212,4
CTC_GSE109761_Br16_B59_212,4
CTC_GSE109761_Br16_B60_212,4
CTC_GSE109761_Br16_C1_212,4
CTC_GSE109761_Br16_C2_212,4
CTC_GSE109761_Br16_C3_212,4
CTC_GSE109761_Br16_C4_212,4
CTC_GSE109761_Br16_C7_212,4
CTC_GSE109761_Br16_C10_212,4
CTC_GSE109761_Br16_C11_212,4
CTC_GSE109761_Br16_C12_212,4
CTC_GSE109761_Br16_C33_212,4
CTC_GSE109761_Br16_C34_212,4
CTC_GSE109761_CD_Br16_46_212,4
CTC_GSE109761_CD_Br16_49_212,4
CTC_GSE109761_CD_Br16_51_212,4
CTC_GSE109761_CD_Br16_52_212,4
CTC_GSE109761_CD_Br16_54_212,4
CTC_GSE109761_CD_Br16_56_212,4
CTC_GSE109761_CD_Br16_58_212,4
CTC_GSE109761_CD_Br16_59_212,4
CTC_GSE109761_CD_Br16_60_212,4
CTC_GSE109761_CD_Br16_62_212,4
CTC_GSE109761_CD_LM2_33_212,4
CTC_GSE109761_CD_LM2_34_212,4
CTC_GSE109761_CD_LM2_37_212,4
CTC_GSE109761_CD_LM2_38_212,4
CTC_GSE109761_CD_LM2_39_212,4
CTC_GSE109761_CD_LM2_41_212,4
CTC_GSE109761_CD_LM2_42_212,4
CTC_GSE109761_CD_LM2_43_212,4
CTC_GSE109761_CD_LM2_44_212,4
CTC_GSE109761_CD_LM2_45_212,4
CTC_GSE109761_Br37_1_212,4
CTC_GSE109761_Br37_2_212,4
CTC_GSE109761_Br38_5_212,1
CTC_GSE109761_Br38_6_212,1
CTC_GSE109761_Br23_28_212,4
CTC_GSE109761_Br44_3_212,1
CTC_GSE109761_Br38_12_212,1
CTC_GSE109761_Br39_15_212,4
CTC_GSE109761_Br39_16_212,4
CTC_GSE109761_Br39_28_212,4
CTC_GSE109761_Br39_1_212,4
CTC_GSE109761_Br11_1_212,4
CTC_GSE109761_Br11_11_212,4
CTC_GSE109761_Br11_17_212,4
CTC_GSE109761_Br11_19_212,4
CTC_GSE109761_Br11_2_212,4
CTC_GSE109761_Br11_3_212,4
CTC_GSE109761_Br11_4_212,4
CTC_GSE109761_Br11_6_212,4
CTC_GSE109761_Br11_7_212,4
CTC_GSE109761_Br11_8_212,4
CTC_GSE109761_Br11_9_212,4
CTC_GSE109761_Br45_CTC_2_212,4
CTC_GSE109761_Br45_CTC_3_212,1
CTC_GSE109761_Br57_CTC__10_212,4
CTC_GSE109761_Br57_CTC__11_212,4
CTC_GSE109761_Br57_CTC__12_212,4
CTC_GSE109761_Br57_CTC__13_212,4
CTC_GSE109761_Br57_CTC__14_212,4
CTC_GSE109761_Br57_CTC__15_212,4
CTC_GSE109761_Br57_CTC__16_212,4
CTC_GSE109761_Br57_CTC__2_212,4
CTC_GSE109761_Br57_CTC__3_212,4
CTC_GSE109761_Br57_CTC__4_212,4
CTC_GSE109761_Br57_CTC__7_212,4
CTC_GSE109761_Br57_CTC__8_212,4
CTC_GSE109761_Br57_CTC__9_212,4
CTC_GSE109761_Br61_CTC___10_212,4
CTC_GSE109761_Br61_CTC___13_212,4
CTC_GSE109761_Br61_CTC___20_212,4
CTC_GSE109761_Br61_CTC___25_212,4
CTC_GSE109761_Br61_CTC___35_212,4
CTC_GSE109761_Br61_CTC___4_212,4
CTC_GSE109761_Br61_CTC___6_212,4
CTC_GSE109761_Brx50_NSG_CTC_A2_212,4
CTC_GSE109761_Brx50_NSG_CTC_A3_212,4
CTC_GSE109761_Brx50_NSG_CTC_A5_212,4
CTC_GSE109761_Brx50_NSG_CTC_A7_212,4
CTC_GSE109761_Br7_2_212,4
CTC_GSE109761_Br7_5_212,4
CTC_GSE109761_Br16_1_212,4
CTC_GSE109761_Br16_2_212,1
CTC_GSE109761_Br16_4_212,4
CTC_GSE109761_Br46_1_45_212,1
CTC_GSE109761_LM2_A86_212,4
CTC_GSE109761_LM2_A93_212,4
CTC_GSE109761_LM2_A94_212,4
CTC_GSE109761_LM2_E5_212,4
CTC_GSE109761_LM2_E7_212,4
CTC_GSE109761_LM2_G1_212,4
CTC_GSE109761_LM2_G9_212,4
CTC_GSE109761_LM2_G10_212,4
CTC_GSE109761_LM2_G14_212,4
CTC_GSE109761_LM2_G15_212,4
CTC_GSE109761_Br16_AC1_212,4
CTC_GSE109761_Br16_AC4_212,4
CTC_GSE109761_Br16_AC7_212,4
CTC_GSE109761_Br16_AC8_212,4
CTC_GSE109761_Br16_AC14_212,4
CTC_GSE109761_Br16_AC15_212,4
CTC_GSE109761_Br16_AC16_212,4
CTC_GSE109761_Br16_AC17_212,4
CTC_GSE109761_Br16_AC18_212,4
CTC_GSE109761_Br16_AC20_212,4
CTC_GSE109761_Br16_AC33_212,4
CTC_GSE109761_Br16_AC34_212,4
CTC_GSE109761_Br16_AC37_212,4
CTC_GSE109761_Br16_AC38_212,1
CTC_GSE109761_Br16_AC39_212,4
CTC_GSE109761_Br16_AC40_212,4
CTC_GSE109761_Br16_B4_212,4
CTC_GSE109761_Br16_B5_212,4
CTC_GSE109761_Br16_B6_212,4
CTC_GSE109761_Br16_B7_212,4
CTC_GSE109761_Br16_B10_212,4
CTC_GSE109761_Br16_B11_212,4
CTC_GSE109761_Br16_B16_212,4
CTC_GSE109761_Br16_B19_212,4
CTC_GSE109761_Br16_B20_212,4
CTC_GSE109761_Br16_B23_212,4
CTC_GSE109761_Br16_B24_212,4
