"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"1","155","RPS20","ENSG00000008988","-2168.2","-2168.2","1","0.201124629408376","0"
"2","137","RPL31","ENSG00000071082","-2495.65","-2495.65","1","3.25615531772854e-10","0"
"3","4","ACTB","ENSG00000075624","-4849.55","-4849.55","1","0.141979742126433","0"
"4","49","FTL","ENSG00000087086","-5271.1","-5271.1","1","0.108449490819905","0"
"5","51","GNAS","ENSG00000087460","-4357.05","-4357.05","1","0.271276977522927","0"
"6","147","RPLP0","ENSG00000089157","-2136.55","-2136.55","1","1.06912790813154e-09","0"
"9","130","RIOK3","ENSG00000101782","-2687.15","-2687.15","1","0.386155640033084","0"
"10","99","OAZ1","ENSG00000104904","-3077.7","-3077.7","1","0.517879132946373","0"
"11","133","RPL19","ENSG00000108298","-2135.5","-2135.5","1","3.72871786257838e-10","0"
"14","50","GAPDH","ENSG00000111640","-3231.7","-3231.7","1","0.266933329749337","0"
"17","191","TPT1","ENSG00000133112","-4094.65","-4094.65","1","0.0830868497255155","0"
"20","162","RPS6","ENSG00000137154","-2565.75","-2565.75","1","2.07753574830188e-10","0"
"24","170","SERF2","ENSG00000140264","-2259.35","-2259.35","1","0.585784116122526","0"
"25","154","RPS2","ENSG00000140988","-3084.85","-3084.85","1","2.3050011402305e-10","0"
"26","150","RPS11","ENSG00000142534","-2199.8","-2199.8","1","0.291435610562224","0"
"27","172","SH3BGRL3","ENSG00000142669","-2811.95","-2811.95","1","0.302592073289166","0"
"32","138","RPL32","ENSG00000144713","-2782.45","-2782.45","1","3.31236620593437e-10","0"
"36","6","ALDOA","ENSG00000149925","-2247.5","-2247.5","1","0.2598617910392","0"
"38","136","RPL30","ENSG00000156482","-2174.15","-2174.15","1","4.56021592907391e-10","0"
"39","37","EEF1A1","ENSG00000156508","-3954.45","-3954.45","1","1.01226833407652e-10","0"
"42","152","RPS14","ENSG00000164587","-2651.75","-2651.75","1","1.89568229083786e-10","0"
"44","11","B2M","ENSG00000166710","-4215.7","-4215.7","1","0.218637952923867","0"
"46","132","RPL13","ENSG00000167526","-2111.9","-2111.9","1","0.100884724494829","0"
"47","48","FTH1","ENSG00000167996","-4027.9","-4027.9","1","0.0736176185762219","0"
