"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"1","21","CFLAR","ENSG00000003402","-60146.25","-60146.25","1","0.556029148921069","0"
"2","111","PRKAR2B","ENSG00000005249","-101532.2","-101532.2","1","0.0831452041573124","0"
"3","69","ITGA2B","ENSG00000005961","-99553.55","-99553.55","1","0.215833333339097","0"
"4","68","IFRD1","ENSG00000006652","-79366.5","-79366.5","1","0.409971374065784","0"
"5","201","VCL","ENSG00000035403","-111874.15","-111874.15","1","0.304320578768328","0"
"6","120","RAB27B","ENSG00000041353","-116104.4","-116104.4","1","0.0727752186684013","0"
"7","173","SLC2A3","ENSG00000059804","-122865.4","-122865.4","1","0.0845229078294715","0"
"8","30","CTSA","ENSG00000064601","-62595.6","-62595.6","1","0.638935920320309","0"
"9","74","KIF2A","ENSG00000068796","-90370.6","-90370.6","1","0.338752515115616","0"
"10","123","RASGRP2","ENSG00000068831","-121509.05","-121509.05","1","2.92918876422671e-11","0"
"11","85","MAST4","ENSG00000069020","-117035.45","-117035.45","1","0.114485247986982","0"
"12","126","RDH11","ENSG00000072042","-97760.95","-97760.95","1","0.359806021041746","0"
"13","119","PTPN18","ENSG00000072135","-73686.45","-73686.45","1","0.427899002509827","0"
"14","10","ATP2A3","ENSG00000074370","-49349.05","-49349.05","1","0.557556585664594","0"
"15","35","DGKD","ENSG00000077044","-119913.4","-119913.4","1","0.242993772251772","0"
"16","32","CXCL2","ENSG00000081041","-115727.15","-115727.15","1","0.0578807947175643","0"
"17","31","CTTN","ENSG00000085733","-74576.65","-74576.65","1","0.590109890118432","0"
"18","110","PPP1R15A","ENSG00000087074","-61490.05","-61490.05","1","0.538787878796498","0"
"19","185","TMEM40","ENSG00000088726","-118989.35","-118989.35","1","0.140306122465592","0"
"20","117","PTGS1","ENSG00000095303","-84231.55","-84231.55","1","0.00145245422507469","0"
"21","73","KCNK6","ENSG00000099337","-73825.8","-73825.8","1","0.286016949179895","0"
