"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"2","4","ACTB","ENSG00000075624","-4089.2","-4089.2","1","0.33761185954153","0"
"3","49","FTL","ENSG00000087086","-9077.65","-9077.65","1","0.120010609590537","0"
"4","51","GNAS","ENSG00000087460","-6401.3","-6401.3","1","0.339669774138822","0"
"7","130","RIOK3","ENSG00000101782","-7735.65","-7735.65","1","0.142300365539603","0"
"9","99","OAZ1","ENSG00000104904","-5893","-5893","1","0.46851658186407","0"
"10","96","NFE2","ENSG00000123405","-5000.5","-5000.5","1","0.0587148109560045","0"
"14","172","SH3BGRL3","ENSG00000142669","-5606.9","-5606.9","1","0.310628291115499","0"
"15","177","STOM","ENSG00000148175","-5304.9","-5304.9","1","0.310666738674523","0"
"19","11","B2M","ENSG00000166710","-6678.95","-6678.95","1","0.341635738646588","0"
"20","48","FTH1","ENSG00000167996","-6856.85","-6856.85","1","0.146837532162709","0"
"22","198","UBB","ENSG00000170315","-10543.25","-10543.25","1","0.0226404541490784","0"
"24","61","HBA2","ENSG00000188536","-9245.35","-9245.35","1","2.05370687325251e-13","0"
"25","60","HBA1","ENSG00000206172","-10018.45","-10018.45","1","1.7017452748357e-12","0"
"26","146","RPL41","ENSG00000229117","-4967.6","-4967.6","1","0.061973023357182","0"
"27","56","GPX1","ENSG00000233276","-6063.4","-6063.4","1","0.344945543584984","0"
"28","62","HBB","ENSG00000244734","-11411.9","-11411.9","1","6.83873699872107e-15","0"
"6","91","MYL12A","ENSG00000101608","-3913.1","-3913.1","1","0.363714488230377","0.00226643162931252"
"23","38","EIF1","ENSG00000173812","-3893.2","-3893.2","1","0.328335282853856","0.00226643162931252"
"1","111","PRKAR2B","ENSG00000005249","-3596.25","-3596.25","1","0.131929153823231","0.00810582606248241"
"12","191","TPT1","ENSG00000133112","-3186.45","-3186.45","1","0.434703574355486","0.0289621882542237"
"8","83","LYL1","ENSG00000104903","-3113.15","-3113.15","1","0.000404890837610286","0.0350336550158138"
"5","197","TUBB1","ENSG00000101162","-2955.35","-2955.35","1","0.30030764421249","0.0461138529932562"
"16","127","RGS10","ENSG00000148908","-2924.55","-2924.55","1","0.417665188673548","0.0461138529932562"
"18","179","TAL1","ENSG00000162367","-3051.65","-3051.65","1","0.00325652993501574","0.0461138529932562"
"17","37","EEF1A1","ENSG00000156508","-2807.45","-2807.45","1","0.657062441178303","0.0463746779536253"
"11","42","F13A1","ENSG00000124491","-2746.4","-2746.4","1","0.00981860500442317","0.0473355491435041"
"13","70","ITM2B","ENSG00000136156","-2538.45","-2538.45","1","0.60814463405106","0.0473355491435041"
"21","80","LIMS1","ENSG00000169756","-2647.3","-2647.3","1","0.454951715793877","0.0473355491435041"
